brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Hyundai,Genesis,2016,20990,Black,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,138150,,KMHGN4JE4GU115863,https://media.kijiji.ca/api/v1/autos-prod-ads/images/26/26e1be9f-b96b-4ae4-b89f-02ed2184657c?rule=kijijica-640-jpg,
Mazda,3,2021,27995,Grey,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,73788,,JM1BPADL6M1324486,https://media.kijiji.ca/api/v1/autos-prod-ads/images/97/97b9529c-537b-4534-b370-6ca609ca957e?rule=kijijica-640-jpg,
GMC,Acadia,2011,6500,,,Used,,,,,314000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/93/9342b09e-6fe6-49a4-b451-9d23455ac205?rule=kijijica-640-jpg,
Land Rover,Range Rover Sport,2017,47490,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,95127,,SALWR2FE8HA134610,https://media.kijiji.ca/api/v1/autos-prod-ads/images/00/007ae465-0976-4891-95dc-1bf9aaf6f7c0?rule=kijijica-640-jpg,
Land Rover,Discovery,2019,46990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,76517,,SALRT2RV9K2412992,https://media.kijiji.ca/api/v1/autos-prod-ads/images/d7/d7618be7-3f7b-41e1-a00f-8bd6f644282c?rule=kijijica-640-jpg,
Chevrolet,Silverado 1500,2017,31000,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,105600,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/25/25caf00c-db08-482d-af59-f193e000dd63?rule=kijijica-640-jpg,
Chrysler,200-Series,2015,8990,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,216000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/95/9540e99a-e5ae-4fd3-bbf5-5012a9033c29?rule=kijijica-640-jpg,
Hyundai,Sonata,2011,8000,Grey,,Used,Sedan,Automatic,Gasoline,,160,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/1b/1b50d375-996a-4bf6-8600-20028d3333ec?rule=kijijica-640-jpg,
Dodge,Challenger,2016,42000,Coupe (2 door),,Used,Rear-wheel drive (RWD),Automatic,Gasoline,,78000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/84/84713811-8e80-46e8-a036-8f87e963bda7?rule=kijijica-640-jpg,
Ford,F-150,2018,36952,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,113177,,1FTEW1E58JFA45863,https://media.kijiji.ca/api/v1/autos-prod-ads/images/a1/a1f6abc7-e68c-4c6d-ad41-7ec54008312a?rule=kijijica-640-jpg,
Hyundai,Tucson,2017,21500,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,92000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/35/35bcea17-6a43-475f-bf94-ba882e6a39ad?rule=kijijica-640-jpg,
Honda,Accord,2006,5500,Silver,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,198426,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/c4/c412719f-8fd1-424c-b923-332e0204a265?rule=kijijica-640-jpg,
Volkswagen,Golf,2008,4000,Hatchback,,Used,Front-wheel drive (FWD),Manual,Gasoline,,214000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/d7/d748088b-a35d-4c39-b9fa-1c25b87678e0?rule=kijijica-640-jpg,
