brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Audi,RS5,2018,55495,Other,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,113754,,WUARWAF59JA903860,,
Kia,Telluride,2020,39995,Green,,Used,"SUV, Crossover",Other,Gasoline,5XYP5DHC1LG042892,106390,,S22892,,
Mitsubishi,RVR,2017,14990,Black,,Used,"SUV, Crossover",Front-wheel drive (FWD),Gasoline,JA4AH3AU3HZ604479,94342,,PS4479,,
Ford,F-150,2017,19995,Grey,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,176792,,1ftfx1ef0hkc93794,,
GMC,Sierra 2500,2008,6700,Pickup Truck,,Used,4 x 4,Automatic,Diesel,,178000,,,,
Volvo,C70,2000,8500,Coupe (2 door),,Used,Front-wheel drive (FWD),Automatic,Gasoline,,1234,,,,
Land Rover,Range Rover Evoque,2020,38990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,51017,,SALZJ2FX7LH120672,,
Porsche,Cayenne,2011,28900,"SUV, Crossover",,Used,,,,,90800,,,,
Volkswagen,Tiguan,2014,14000,Grey,,Used,"SUV, Crossover",Front-wheel drive (FWD),Manual,Gasoline,112643,,,,
Pontiac,G6,2007,2500,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,190000,,,,
Honda,CR-V,2015,13500,Hatchback,,Used,All-wheel drive (AWD),Automatic,Gasoline,,219282,,,,
Hyundai,Accent,2013,7500,Grey,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,135000,,,,
Toyota,RAV4,2015,13500,"SUV, Crossover",,Used,All-wheel drive (AWD),Automatic,Gasoline,,240000,,,,
Mitsubishi,RVR,2015,16495,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,88567,,4A4AJ4AW9FE609572,,
Jeep,Grand Cherokee,2017,28500,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,100169,,1C4RJFAG0HC761429,,
Ford,F-150,2022,58990,Grey,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,32590,,1FTEW1EP6NKD85012,,
Ford,F-150,2021,51990,Blue,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,23542,,1FTFW1E89MFC82834,,
Ford,Escape,2009,2300,"SUV, Crossover",,Used,4 x 4,Automatic,Gasoline,,280000,,,,
Ford,Taurus,2014,9900,Grey,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,202565,,1FAHP2H85EG180794,,
Plymouth,Prowler,2001,50000,,,Used,,,,,16000,,,,
Honda,Civic,2012,8995,Sedan,,Used,Front-wheel drive (FWD),Automatic,,,168000,,,,
Chevrolet,Silverado 2500,2004,9500,Pickup Truck,,Used,4 x 4,Automatic,Diesel,,396,,,,
Jaguar,F-Type,2016,59989,Grey,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,53000,,SAJXJ6DL6GMK27832,,
Land Rover,Defender,2023,82990,Green,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,23000,,SALE26EU3P2127556,,
Ford,Escape,2020,28990,Green,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,22208,,1FMCU9G62LUA42078,,
Honda,Civic,2019,22990,Black,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,61223,,2HGFC2F72KH001023,,
Jeep,Grand Cherokee,2015,20490,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,98000,,1C4RJFBGXFC858357,,
Mitsubishi,Outlander,2019,23495,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,58952,,JA4AZ2A35KZ609205,,
Toyota,Highlander,2013,14990,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,226289,,5TDBK3EH4DS203043,,
Honda,Civic,2015,13990,White,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,146000,,2HGFG3B55FH000453,,
Buick,Enclave,2018,26990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,132100,,5GAEVCKW8JJ260170,,
Mitsubishi,RVR,2023,35990,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,28964,,JA4AJVAWXPU600264,,
Mitsubishi,RVR,2022,30990,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,26000,,JA4AJVAW1NU606886,,
Dodge,Durango,2021,48749,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,53000,,1C4SDJCT6MC832505,,
Mitsubishi,Outlander,2023,47749,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,8120,,JA4T5UA94PZ606727,,
Ford,Edge,2022,37990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,62484,,2FMPK4K99NBA75616,,
Ford,F-150,2021,49990,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,55000,,1FTEW1EPXMKD76778,,
Audi,Q5,2020,36490,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,73000,,WA1CNAFY6L2078884,,
Land Rover,Defender,2020,72990,Brown,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,27330,,SALE97EU0L2030729,,
Land Rover,Range Rover Sport,2020,65990,Orange,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,43894,,SALWR2SU8LA884904,,
Land Rover,Range Rover,2019,62990,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,102517,,SALGS2RE6KA531728,,
Ford,F-150,2018,34990,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,113721,,1FTEW1EG0JFB35316,,
Honda,Ridgeline,2023,54990,White,,Used,Pickup Truck,All-wheel drive (AWD),Automatic,Gasoline,329,,5FPYK3F80PB503509,,
Chevrolet,Colorado,2016,30490,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,62485,,1GCGTDE36G1360555,,
Mazda,CX-5,2015,5900,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,225240,,JM3KE4CY2F0552103,,
Ford,Escape,2022,31990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,60686,,1FMCU9J98NUA55181,,
Honda,Civic,2017,16990,Black,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,154909,,2HGFC2F55HH008023,,
Ford,F-150,2021,54990,Black,,Used,Pickup Truck,4 x 4,Automatic,Hybrid-Electric,72658,,1FTFW1ED8MFB44635,,
Toyota,C-HR,2019,25990,Black,,Used,Hatchback,Other,Automatic,Gasoline,142553,,JTNKHMBX6K1062000,,
Toyota,GR Supra,2023,69990,Coupe (2 door),,Used,Other,Automatic,Gasoline,WZ1DB0G08PW059131,14990,,THU15365,,
Volkswagen,Tiguan,2020,29990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,18620,,3VV2B7AX9LM057310,,
Honda,Civic,2020,60,,,Used,,,,,100000,,,,
Hyundai,Genesis,2010,9988,Black,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,89187,,KMHGC4DF6AU083452,,
Mazda,CX-9,2021,34990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,70956,,JM3TCBCYXM0452794,,
GMC,Sierra 1500,2024,90239,White,,New,Pickup Truck,Other,Automatic,Gasoline,0,,1GTUUGED5RZ215103,,
Audi,RS5,2018,55495,Other,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,113754,,WUARWAF59JA903860,,
Kia,Carnival,2024,52899,Grey,,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,13586,,KNDNE5H39R6325808,,
Porsche,Cayenne,2023,94899,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,27897,,WP1AA2AY2PDA01525,,
Mazda,3,2009,700,Hatchback,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,238300,,,,
Toyota,Tundra,2023,74990,Blue,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,15621,,5TFMA5DB2PX067031,,
Nissan,Murano,2016,17990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,170214,,5N1AZ2MH8GN133491,,
Dodge,Grand Caravan,2018,16990,White,,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,176542,,2C4RDGBG5JR295828,,
Chevrolet,Silverado 1500,2015,11500,,,Used,,,,,251000,,,,
Ford,Mustang,2014,35000,,,Used,,,,,53000,,,,
Chevrolet,Trax,2019,18749,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,66098,,3GNCJNSB0KL252060,,
Hyundai,Elantra,2020,19495,Silver,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,71456,,KMHD84LF8LU990261,,
Volkswagen,Tiguan,2018,19495,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,127741,,3VV0B7AX2JM157950,,
Mitsubishi,RVR,2019,22990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,90550,,JA4AJ3AUXKU604648,,
