brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Mitsubishi,Outlander,2019,24495,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,58952,,JA4AZ2A35KZ609205,,
Hyundai,Tucson,2023,31749,Blue,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,14421,,KM8JB3AE2PU197424,,
Dodge,Grand Caravan,2015,0,,,Used,,,,,172000,,,,
Mitsubishi,RVR,2016,16990,Grey,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,150698,,JA4AH3AU4GZ609334,,
Ford,Explorer,2020,37990,Brown,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,65621,,1FMSK8FH6LGC05263,,
Hyundai,Elantra,2021,23199,White,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,84983,,KMHLM4AG9MU115789,,
Volkswagen,Jetta,2019,22990,Blue,,Used,Sedan,Other,Automatic,Gasoline,97786,,3VWE57BU5KM075130,,
Volkswagen,Taos,2023,41990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,8491,,3VV2X7B25PM321603,,
Kia,Sorento,2020,32990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,57083,,5XYPHDA54LG629560,,
BMW,3-Series,2007,7600,Coupe (2 door),,Used,All-wheel drive (AWD),Automatic,Gasoline,,187000,,,,
BMW,X3,2020,42990,Brown,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,57949,,5UXTY5C00LLT37705,,
Volkswagen,Tiguan,2020,33990,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,40166,,3VV4B7AXXLM146313,,
Nissan,Kicks,2021,25990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,82254,,3N1CP5CV0ML477293,,
Kia,Sportage,2022,27990,Blue,,Used,"SUV, Crossover",Other,Automatic,Gasoline,23056,,KNDPM3AC4N7012860,,
Hyundai,Tucson,2018,19000,"SUV, Crossover",,Used,All-wheel drive (AWD),Automatic,Gasoline,,122000,,,,
Honda,Civic,2008,5500,,,Used,,,,,260000,,,,
Jeep,Grand Cherokee,2015,20990,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,98000,,1C4RJFBGXFC858357,,
Chevrolet,Silverado 1500,2015,32900,Black,,Used,Pickup Truck,4 x 4,Automatic,Other,176000,,3GCUKTEC4FG343804,,
Chevrolet,Silverado 2500,2022,88995,Black,,Used,Pickup Truck,4 x 4,Automatic,Diesel,53500,,2gc4yrey0n1205018,,
Kia,Sorento,2017,22495,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,56130,,5XYPHDA14HG327870,,
Porsche,Cayenne,2022,137678,Other,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,19086,,WP1AG2AYXNDA38835,,
Mitsubishi,RVR,2022,32990,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,26000,,JA4AJVAW1NU606886,,
Dodge,Journey,2012,1500,Black,,Used,Wagon,Front-wheel drive (FWD),Automatic,Gasoline,249497,,3C4PDCAB4CT188162,,
Kia,Soul,2020,24990,Blue,,Used,Hatchback,Other,Automatic,Gasoline,68942,,KNDJ33AU1L7121369,,
Toyota,Camry,2021,28990,Grey,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,86463,,4T1G11AK3MU475833,,
Ram,1500,2011,19500,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,179456,,,,
Honda,CR-V,2015,16500,"SUV, Crossover",,Used,Front-wheel drive (FWD),Automatic,Gasoline,,153500,,,,
Jaguar,F-Type,2020,59890,Black,,Used,Other,Rear-wheel drive (RWD),Automatic,Gasoline,26787,,SAJDD1EV6LCK68135,,
Mazda,CX-5,2015,12500,"SUV, Crossover",,Used,Front-wheel drive (FWD),Automatic,Gasoline,,165000,,,,
Jeep,Wrangler,2013,18990,Red,,Used,Convertible,4 x 4,Automatic,Gasoline,173290,,1C4HJWEG1DL615122,,
Ford,Edge,2010,11990,Black,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,144345,,2FMDK4KC3ABA92100,,
Honda,Civic,2003,600,Blue,,Used,Sedan,Automatic,,,200000,,,,
BMW,X6 M,2020,104990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,15000,,5YMCY0C04L9D18277,,
Land Rover,Range Rover,2017,45990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,117021,,SALGS2FE7HA364809,,
Jaguar,F-Pace,2020,42990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,47000,,SADCP2FX0LA643220,,
Ford,Mustang,2021,47900,Blue,,Used,Other,Rear-wheel drive (RWD),Manual,Gasoline,30328,,1FA6P8CF0M5124319,,
Hyundai,Santa Fe,2022,34899,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,34175,,5NMS3DAJ2NH410000,,
Ford,F-150,2020,42888,Brown,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,49201,,1FTEW1EP1LFB58087,,
Mitsubishi,Outlander,2023,46990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,11317,,JA4T5UA93PZ604600,,
Toyota,Corolla,2023,25495,Black,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,56866,,5YFB4MDE0PP010084,,
Mazda,CX-5,2019,26599,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,39366,,JM3KFBCM4K0643382,,
Subaru,Impreza,2020,10990,White,,Used,Wagon,All-wheel drive (AWD),Automatic,Gasoline,314596,,4S3GTAB62L3704040,,
Ford,Mustang Mach-E,2022,57888,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Electric,23450,,3FMTK4SXXNMA53071,,
Mitsubishi,Outlander,2019,27900,White,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,66178,,JA4J24A51KZ610434,,
Toyota,RAV4,2021,30900,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,104744,,2T3R1RFV3MC166205,,
Mitsubishi,Eclipse Cross,2020,22495,Brown,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,88074,,JA4AT3AA6LZ602030,,
Ford,F-150,2015,29690,Blue,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,191000,,1FTEW1EG8FFC23943,,
Ford,F-350,2022,87888,Black,,Used,Pickup Truck,4 x 4,Automatic,Diesel,43582,,1FT8W3BT5NEF00482,,
Ford,F-150,2016,31187,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,129402,,1FTEW1EP9GFB58084,,
Honda,CR-V,2015,18990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,202348,,5J6RM4H95FL806858,,
Ford,F-150,2015,24900,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,188987,,1FTEW1EP0FKE90436,,
Ford,F-150,2016,27399,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,142423,,1FTEW1EF2GFC93527,,
Mercedes-Benz,GLA,2017,22990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,104000,,WDCTG4GB7HJ296853,,
BMW,M4,2018,62990,Black,,Used,Other,Rear-wheel drive (RWD),Automatic,Gasoline,64893,,WBS4Z9C55JED22992,,
GMC,Sierra 1500,2020,43995,Silver,,Used,Pickup Truck,Other,Gasoline,1GTU9BED2LZ360689,43187,,N153316A,,
Mitsubishi,Outlander,2019,24495,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,58952,,JA4AZ2A35KZ609205,,
MINI,John Cooper Works Countryman,2021,42490,Black,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,32583,,WMZ33BS01M3N23058,,
Hyundai,Tucson,2023,31749,Blue,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,14421,,KM8JB3AE2PU197424,,
Toyota,Matrix,2009,6500,Hatchback,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,217000,,,,
Ram,1500,2021,41805,Black,,Used,Pickup Truck,Other,Gasoline,3C6RR7KT7MG712429,26027,,PA2429,,
Kia,Sorento,2017,18990,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,114606,,5XYPGDA15HG238991,,
Jeep,Cherokee,2017,14500,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,162433,,1C4PJMBSXHW664395,,
Genesis,GV70,2023,66990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,24812,,KMUMCDTC7PU086977,,
Genesis,Other,2023,74500,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Electric,1197,,KMUKEDTB2PU015646,,
Ford,Bronco II,2021,47900,Orange,,Used,Convertible,4 x 4,Automatic,Gasoline,36856,,1FMDE5AP0MLA75325,,
Land Rover,Range Rover,2022,109990,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,30000,,SALGS2SEXNA458619,,
Land Rover,Defender,2023,91990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,3050,,SALE26EU7P2214568,,
Pontiac,G5,2009,2427,Other,,Used,Front-wheel drive (FWD),Manual,Gasoline,1G2AS55H597282882,100312,,NC71044A,,
BMW,X5,2013,15750,,,Used,,,,,96324,,,,
Hyundai,Sonata,2021,31888,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,5NPEH4J28MH066925,11624,,PS6925,,
Volvo,V50,2011,10400,Hatchback,,Used,,,,,136743,,,,
Ford,F-350,2020,76500,Red,,Used,Pickup Truck,4 x 4,Automatic,Diesel,67000,,1FT8W3BTXLED18211,,
Honda,Passport,2019,31500,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,92420,,5FNYF8H92KB500085,,
Hyundai,Sonata,2009,3988,Grey,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,207348,,5NPET46F19H419894,,
Chevrolet,Camaro,2018,51878,White,,Used,Coupe (2 door),Other,Manual,Gasoline,30000,,1G1FE1R78J0186642,,
Dodge,Journey,2010,4250,,,Used,,,,,148350,,,,
Infiniti,QX50,2020,32990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,77390,,3PCAJ5M35LF106176,,
Jeep,Grand Cherokee,2007,29000,"SUV, Crossover",,Used,,,,,164000,,,,
Porsche,Cayenne,2021,88895,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,23381,,WP1AA2AY1MDA06498,,
Lexus,RX,2017,34990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,98415,,2T2BZMCA2HC089240,,
Porsche,Cayenne,2022,137678,Other,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,19086,,WP1AG2AYXNDA38835,,
BMW,6-Series,2016,34749,Black,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,92846,,WBA6D6C52GG387769,,
Jaguar,F-Type,2019,55990,Grey,,Used,Other,Rear-wheel drive (RWD),Automatic,Gasoline,52670,,SAJDD1EV7KCK61399,,
MINI,John Cooper Works Countryman,2021,42490,Black,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,32583,,WMZ33BS01M3N23058,,
Kia,Sorento,2017,22495,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,56130,,5XYPHDA14HG327870,,
Honda,Civic,2018,14999,Sedan,,Used,Front-wheel drive (FWD),Manual,Gasoline,,201000,,,,
Porsche,Cayenne,2022,137678,Other,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,19086,,WP1AG2AYXNDA38835,,
Porsche,911,2012,96599,Other,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,60000,,WP0CB2A92CS754719,,
Nissan,Versa,2012,5000,Manual,,Used,,,,,90000,,,,
Hyundai,Veracruz,2012,5600,"SUV, Crossover",,Used,All-wheel drive (AWD),Automatic,Gasoline,,2204696,,,,
Ram,1500,2024,72800,Red,,New,Pickup Truck,Other,Automatic,Gasoline,0,,1C6SRFLT9RN145634,,
Ram,1500,2024,73245,Black,,New,Pickup Truck,Other,Automatic,Gasoline,0,,1C6SRFLT4RN145637,,
Dodge,Power Ram 1500,2009,4000,,,Used,,,,,218000,,,,
Ram,1500,2024,73195,Blue,,New,Pickup Truck,Other,Automatic,Gasoline,0,,1C6SRFLT6RN145638,,
Ram,1500,2023,50002,Red,,New,Pickup Truck,Other,Automatic,Gasoline,0,,1C6RR7KG2PS593799,,
Ram,1500,2024,73245,Black,,New,Pickup Truck,Other,Automatic,Gasoline,0,,1C6SRFLT2RN145636,,
Ram,1500,2024,72800,White,,New,Pickup Truck,Other,Automatic,Gasoline,0,,1C6SRFLT7RN145633,,
Ram,1500,2024,72800,White,,New,Pickup Truck,Other,Automatic,Gasoline,0,,1C6SRFLT5RN145632,,
Mitsubishi,RVR,2020,23990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,68720,,JA4AJ4AW2LU602806,,
Chrysler,Town & Country,2016,17990,White,,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,114495,,2C4RC1JG4GR286130,,
Kia,Sorento,2017,22495,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,56130,,5XYPHDA14HG327870,,
Dodge,Grand Caravan,2015,0,,,Used,,,,,172000,,,,
Ford,GT,2022,43890,Black,,Used,Other,Rear-wheel drive (RWD),Manual,Gasoline,13000,,1FA6P8CF1N5109362,,
Suzuki,SX4,2012,4700,Orange,,Used,Hatchback,All-wheel drive (AWD),Automatic,Gasoline,190000,,,,
Kia,Forte5,2014,10000,Hatchback,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,136402,,,,
Pontiac,Vibe,2007,1000,Hatchback,,Used,,,,,204000,,,,
Dodge,Grand Caravan,2015,0,,,Used,,,,,172000,,,,
Lexus,RX,2017,34990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,98415,,2T2BZMCA2HC089240,,
Mitsubishi,Outlander,2019,24495,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,58952,,JA4AZ2A35KZ609205,,
Chevrolet,Silverado 2500,2022,88995,Black,,Used,Pickup Truck,4 x 4,Automatic,Diesel,53500,,2gc4yrey0n1205018,,
Mitsubishi,Outlander,2023,50990,White,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,18592,,JA4T5UA98PZ615155,,
Hyundai,Sonata,2020,35000,Sedan,,Used,,,,,72268,,,,
Kia,Soul,2013,4500,Green,,Used,Hatchback,Manual,Gasoline,,193000,,,,
Chevrolet,Silverado 1500,2017,0,Pickup Truck,,Used,,,,,150000,,,,
Toyota,Tacoma,2017,35000,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,52000,,,,
Hyundai,Elantra,2009,5000,Sedan,,Used,Manual,Gasoline,,,210000,,,,
Hyundai,Elantra,2010,5000,Red,,Used,Sedan,Automatic,Gasoline,,175000,,,,
Mercedes-Benz,CLA,2017,22990,White,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,92000,,WDDSJ4GB4HN481654,,
Nissan,Kicks,2019,19990,Black,,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,110413,,3N1CP5CU6KL503769,,
Mazda,CX-5,2016,21990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,37181,,JM3KE4CY0G0857472,,
Ford,Ranger,2021,38990,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,61258,,1FTER4FH3MLD50162,,
Ford,Edge,2013,9800,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,230000,,,,
Volkswagen,Jetta,2013,11995,White,,Used,Sedan,Front-wheel drive (FWD),Manual,Gasoline,172035,,,,
Jaguar,F-Pace,2020,46990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,11000,,SADCX2GX0LA660498,,
BMW,6-Series,2016,34749,Black,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,92846,,WBA6D6C52GG387769,,
Chevrolet,Silverado 2500,2022,88995,Black,,Used,Pickup Truck,4 x 4,Automatic,Diesel,53500,,2gc4yrey0n1205018,,
Chevrolet,Express,2015,12999,"Minivan, Van",,Used,Rear-wheel drive (RWD),Automatic,Gasoline,,384000,,,,
Ford,Mustang Mach-E,2022,52990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Electric,22000,,3FMTK3SU4NMA09230,,
Toyota,RAV4,2017,19990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,241664,,2T3JFREV4HW620174,,
Honda,Fit,2008,7999,Blue,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,101047,,JHMGD38498S804744,,
Jeep,Wrangler,2020,41990,Silver,,Used,Convertible,4 x 4,Automatic,Gasoline,65681,,1C4HJXDG2LW164948,,
Mitsubishi,RVR,2017,15749,Black,,Used,"SUV, Crossover",Front-wheel drive (FWD),Gasoline,JA4AH3AU3HZ604479,94342,,PS4479,,
Land Rover,Range Rover,2020,87990,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,91426,,SALGV2SE5LA401278,,
Chevrolet,Express,2015,12999,"Minivan, Van",,Used,Rear-wheel drive (RWD),Automatic,Gasoline,,384000,,,,
MINI,John Cooper Works Countryman,2021,42490,Black,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,32583,,WMZ33BS01M3N23058,,
Jaguar,XE,2018,25990,Black,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,49164,,SAJAJ4FX3JCP27566,,
Honda,Odyssey,2019,39900,Silver,,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,62000,,5FNRL6H69KB504724,,
Land Rover,Discovery Sport,2017,18490,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,177242,,SALCR2BG9HH711114,,
Ford,Escape,2018,20990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,68000,,1FMCU9GD5JUA45293,,
Ford,Mustang Mach-E,2022,52990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Electric,22000,,3FMTK3SU4NMA09230,,
Kia,Forte,2014,6990,Blue,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,162350,,KNAFX4A8XE5058917,,
Hyundai,Accent,2009,2900,Green,,Used,Other,Front-wheel drive (FWD),Gasoline,KMHCN35C69U108269,236298,,TB01491C,,
Ford,F-150,2019,34900,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,67648,,1FTEW1EP9KFB86279,,
Hyundai,Palisade,2021,41800,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,45271,,KM8R5DHEXMU197785,,
Nissan,Rogue,2018,21300,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,88988,,5N1AT2MV9JC749128,,
Genesis,G70,2023,58500,Silver,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,830,,KMTG54TE7PU128805,,
Ford,Flex,2018,25990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,131595,,2FMHK6D82JBA19967,,
Ford,F-150,2022,51520,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,86331,,1FTFW1E59NFA99571,,
Ford,Transit,2021,45990,White,,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,157612,,1FTBR1Y83MKA09946,,
Kia,Forte,2014,6749,Blue,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,203597,,KNAFX4A67E5130543,,
BMW,X1,2016,17990,Blue,,Used,"Minivan, Van",All-wheel drive (AWD),Automatic,Gasoline,153577,,WBXHT3C37GP883343,,
Dodge,Journey,2012,4999,White,,Used,Wagon,Front-wheel drive (FWD),Automatic,Gasoline,193999,,3C4PDCCG7CT211880,,
Ford,Escape,2017,10495,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,201382,,1FMCU9G90HUA71807,,
Ford,F-150,2022,72490,Grey,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,34674,,1FTFW1E88NFB53646,,
Jeep,Cherokee,2015,13495,White,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,139814,,1C4PJLCS9FW780886,,
Ford,Escape,2022,35900,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Hybrid-Electric,50757,,1FMCU9CZ3NUA49544,,
Mitsubishi,Mirage,2015,7999,Grey,,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,135023,,ML32A3HJ3FH052191,,
Ford,Focus,2016,14749,Gold,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,28897,,1FADP3FE8GL226268,,
Ford,F-150,2016,25900,Blue,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,153721,,1FTFW1EF4GFC22172,,
Ford,Mustang Mach-E,2022,52990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Electric,22000,,3FMTK3SU4NMA09230,,
Mazda,CX-30,2021,27596,Grey,,Used,"SUV, Crossover",Other,Automatic,Gasoline,102173,,3MVDMBDL6MM205801,,
Hyundai,Tucson,2023,31749,Blue,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,14421,,KM8JB3AE2PU197424,,
Chevrolet,Silverado 2500,2022,88995,Black,,Used,Pickup Truck,4 x 4,Automatic,Diesel,53500,,2gc4yrey0n1205018,,
Mitsubishi,RVR,2022,32990,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,26000,,JA4AJVAW1NU606886,,
Mitsubishi,Eclipse Cross,2022,28295,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,76062,,JA4ATVAA7NZ600351,,
Hyundai,Elantra,2022,23990,Orange,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,19967,,KMHLM4AG9NU298662,,
Mitsubishi,Outlander,2019,24495,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,58952,,JA4AZ2A35KZ609205,,
Jeep,Wrangler,2021,34999,Grey,,Used,Convertible,4 x 4,Automatic,Gasoline,41198,,1C4GJXAN4MW804853,,
Ford,Explorer,2020,40990,Blue,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,74301,,1FM5K8HC5LGA74034,,
Hyundai,Tucson,2023,31749,Blue,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,14421,,KM8JB3AE2PU197424,,
Mitsubishi,Outlander,2023,50990,White,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,18592,,JA4T5UA98PZ615155,,
Mitsubishi,RVR,2019,21990,Brown,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,63847,,JA4AJ3AU7KU605529,,
Toyota,Yaris,2012,6990,Grey,,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,148586,,JTDKTUD35CD500437,,
Audi,Q3,2021,38990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,84290,,WA1EECF35M1096888,,
Subaru,XV Crosstrek,2022,36990,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,19967,,JF2GTHNC2N8259493,,
Land Rover,Discovery Sport,2016,19588,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,133928,,SALCR2BGXGH598899,,
Infiniti,G37x,2010,3990,White,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,330128,,JN1CV6AR3AM461110,,
Porsche,718,2018,74990,Silver,,Used,Convertible,Other,Automatic,Gasoline,28232,,WP0CB2A85JS229366,,
Volkswagen,Golf,2021,27990,Red,,Used,"SUV, Crossover",Other,Automatic,Gasoline,91091,,3VWG57AU0MM002888,,
Volkswagen,GTI,2023,39990,Grey,,Used,Hatchback,Other,Manual,Gasoline,5007,,WVW7A7CD5PW151183,,
Kia,EV6,2023,62990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Hybrid-Electric,12293,,KNDC4DLC9P5114896,,
Kia,Forte,2022,26990,White,,Used,Sedan,Other,Automatic,Gasoline,38259,,3KPF34ADXNE427842,,
Honda,Civic,2020,25990,Blue,,Used,Sedan,Other,Automatic,Gasoline,90965,,2HGFC2F73LH018642,,
BMW,X1,2021,35990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,90915,,WBXJG9C00M5T89959,,
Nissan,Sentra,2022,24990,Grey,,Used,Sedan,Other,Manual,Gasoline,31804,,3N1AB8BV0NY250487,,
Lexus,IS,2020,45990,White,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,40193,,JTHGZ1E24L5017846,,
Nissan,Kicks,2021,25990,Grey,,Used,"SUV, Crossover",Other,Automatic,Gasoline,88423,,3N1CP5CV9ML478247,,
Kia,EV6,2022,56990,Black,,Used,"SUV, Crossover",Other,Automatic,Gasoline,27914,,KNDC4DLC7N5064545,,
Ford,Mustang,2013,18900,Red,,Used,Other,Rear-wheel drive (RWD),Gasoline,1ZVBP8AM2D5200131,70951,,N103538A,,
Ford,F-150,2022,82820,Blue,,Used,Pickup Truck,4 x 4,Automatic,Hybrid-Electric,14897,,1FTFW1ED2NFB64722,,
Ford,F-150,2019,28500,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,196193,,1FTEW1EP3KKE54105,,
