brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Land Rover,Range Rover,2017,47990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,117021,,SALGS2FE7HA364809,,
Audi,RS5,2018,58049,Other,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,113754,,WUARWAF59JA903860,,
Dodge,Grand Caravan,2015,15999,"Minivan, Van",,Used,Front-wheel drive (FWD),Automatic,Gasoline,,173000,,,,
Kia,Rio,2012,11500,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,105000,,,,
Volvo,XC90,2021,61990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,44502,,YV4A22PMXM1755740,,
Ford,F-150,2016,28495,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,133747,,1FTEW1EP3GFC50856,,
Hyundai,Elantra,2022,24999,Orange,,Used,Other,Front-wheel drive (FWD),Automatic,Gasoline,19967,,KMHLM4AG9NU298662,,
Toyota,Tacoma,2008,18500,Pickup Truck,,Used,4 x 4,Manual,Gasoline,,204000,,,,
Ford,Focus,2013,9500,Black,,Used,Hatchback,Front-wheel drive (FWD),Manual,Gasoline,197500,,,,
MINI,Cooper S Countryman,2023,639,,,Lease Takeover,,,,,13000,,,,
Ford,E-150,2011,6800,White,,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,220152,,,,
Chrysler,Pacifica,2017,19000,Grey,,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,135000,,,,
Ford,F-350,2011,20000,Grey,,Used,Pickup Truck,4 x 4,Automatic,Diesel,265000,,,,
Mitsubishi,Lancer,2013,5999,Sedan,,Used,Front-wheel drive (FWD),Manual,,,144150,,,,
Toyota,Camry,2005,7500,Sedan,,Used,Automatic,Gasoline,,,164000,,,,
Chevrolet,Express,2015,14500,"Minivan, Van",,Used,Rear-wheel drive (RWD),Automatic,Gasoline,,384000,,,,
Porsche,Cayenne,2014,22000,"SUV, Crossover",,Used,All-wheel drive (AWD),Other,Gasoline,,210000,,,,
Land Rover,Range Rover Sport,2015,37990,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,132000,,SALWR2TF5FA531654,,
Mercedes-Benz,E-Class,2017,34990,White,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,96017,,WDDZF6GB1HA109756,,
Nissan,Kicks,2019,21990,Black,,Used,Other,Front-wheel drive (FWD),Automatic,Gasoline,110413,,3N1CP5CU6KL503769,,
Chrysler,Town & Country,2016,19990,White,,Used,Other,Front-wheel drive (FWD),Automatic,Gasoline,114495,,2C4RC1JG4GR286130,,
Ford,Transit Connect,2021,35635,Black,,Used,Other,Front-wheel drive (FWD),Automatic,Gasoline,172119,,NM0LS7W29M1488015,,
Mitsubishi,Mirage,2014,10749,Grey,,Used,Other,Front-wheel drive (FWD),Manual,Gasoline,129953,,ML32A4HJ9EH011410,,
Jeep,Grand Cherokee,2021,51535,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,65097,,1C4RJKDGXM8127286,,
Audi,RS5,2018,58049,Other,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,113754,,WUARWAF59JA903860,,
Jaguar,F-Type,2020,60890,Black,,Used,Other,Rear-wheel drive (RWD),Automatic,Gasoline,26787,,SAJDD1EV6LCK68135,,
Mitsubishi,Mirage,2014,10749,Grey,,Used,Other,Front-wheel drive (FWD),Manual,Gasoline,129953,,ML32A4HJ9EH011410,,
Ford,F-150,2020,54900,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,45618,,1FTEW1E59LFB72804,,
Subaru,XV Crosstrek,2013,13990,Other,,Used,All-wheel drive (AWD),Automatic,Gasoline,JF2GPAVC5DH205213,90543,,NA92875B,,
Honda,HR-V,2020,29899,Grey,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,15086,,3CZRU6H33LM104958,,
Ford,F-150,2018,29990,Blue,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,163140,,1FTFW1E55JFC82931,,
Ford,Focus,2012,2900,Blue,,Used,Other,Front-wheel drive (FWD),Automatic,Gasoline,228068,,1FAHP3K22CL376268,,
