brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Toyota,Corolla,2020,21999,Silver,,Used,Other,Front-wheel drive (FWD),Automatic,Gasoline,78901,,5YFBPRBE3LP138241,,
Honda,CR-V,2018,29111,Blue,,Used,"SUV, Crossover",Other,Gasoline,2HKRW2H85JH133336,62128,,TL3336,,
Porsche,Cayenne,2014,28980,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Diesel,195315,,WP1AF2A2XELA41285,,
Mercedes-Benz,E-Class,2016,20000,Black,,Used,Sedan,All-wheel drive (AWD),Automatic,Diesel,180000,,,,
Hyundai,Santa Fe,2021,29999,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,75768,,5NMS3DAJ5MH355699,,
Jeep,Other,2023,64490,White,,Used,Other,4 x 4,Automatic,Hybrid-Electric,18017,,1C4JJXR60PW521681,,
Toyota,Sienna,2011,5800,"Minivan, Van",,Used,Front-wheel drive (FWD),Automatic,Gasoline,,375004,,,,
Toyota,RAV4,2015,13810,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,227748,,2T3DFREV8FW229474,,
Nissan,Versa,2015,12995,Grey,,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,48020,,,,
Chevrolet,Colorado,2019,37995,Grey,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,66804,,1GCGTCENXK1168270,,
GMC,Sierra 1500,2015,22990,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,273043,,3GTU2VEC0FG252525,,
Volkswagen,Tiguan,2022,36990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,17014,,3VV8B7AX9NM104932,,
Honda,Fit,2016,16990,White,,Used,Hatchback,Other,Automatic,Gasoline,96485,,3HGGK5H79GM103840,,
Subaru,Solterra,2023,47995,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Hybrid-Electric,5513,,JTMABABA7PA036136,,
Ford,F-150,2014,14275,Other,,Used,Other,Other,1FTFW1EF2EFA51645,S12569A,176948,,,,
Chevrolet,Silverado 1500,2013,13988,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,186868,,3GCPKREA9DG275169,,
Volkswagen,Tiguan,2023,38990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,23506,,3VVMB7AX3PM004519,,
