brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Ford,F-150,2019,20995,Blue,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,197869,,1ftfx1e59kke86010,,
Land Rover,Range Rover Velar,2019,52990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,43527,,SALYB2EV0KA785915,,
Ford,Mustang Mach-E,2022,54990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Electric,22000,,3FMTK3SU4NMA09230,,
BMW,M4,2018,59990,Black,,Used,Other,Rear-wheel drive (RWD),Automatic,Gasoline,64893,,WBS4Z9C55JED22992,,
Kia,Rio,2012,11500,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,105000,,,,
Toyota,Venza,2009,12500,"SUV, Crossover",,Used,Front-wheel drive (FWD),Automatic,Gasoline,V 6,190000,,,,
Jaguar,F-Pace,2020,48990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,11000,,SADCX2GX0LA660498,,
Subaru,Forester,2016,21500,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,64500,,,,
GMC,Sierra 2500,2010,50000,Pickup Truck,,Used,Automatic,Diesel,,,37000,,,,
Kia,Sedona,2020,29670,Silver,,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,114000,,KNDMC5C15L6562004,,
Chevrolet,Trax,2021,18850,Burgundy,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,61661,,,,
Buick,LeSabre,2003,4000,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,40000,,,,
Chevrolet,Colorado,2018,24999,Grey,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,78877,,,,
Toyota,Venza,2009,12500,"SUV, Crossover",,Used,Front-wheel drive (FWD),Automatic,Gasoline,V 6,190000,,,,
Kia,Rio,2012,11500,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,105000,,,,
BMW,6-Series,2004,12500,Coupe (2 door),,Used,Rear-wheel drive (RWD),Automatic,Gasoline,,170000,,,,
Buick,Verano,2017,12000,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,212000,,,,
Honda,Civic,2018,16500,Sedan,,Used,Front-wheel drive (FWD),Manual,Gasoline,,200,,,,
Mitsubishi,Outlander,2018,20799,Silver,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,130000,,JA4JZ3AXXJZ601513,,
Hyundai,VENUE,2022,22749,Black,,Used,Other,Front-wheel drive (FWD),Automatic,Gasoline,25130,,KMHRB8A31NU149795,,
Dodge,Grand Caravan,2015,15999,"Minivan, Van",,Used,Front-wheel drive (FWD),Automatic,Gasoline,,173000,,,,
Chevrolet,Express,2015,12500,"Minivan, Van",,Used,Rear-wheel drive (RWD),Automatic,Gasoline,,384000,,,,
Buick,Enclave,2013,14999,Other,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,168132,,,,
MINI,John Cooper Works Countryman,2021,43990,Black,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,32583,,WMZ33BS01M3N23058,,
Ford,Mustang Mach-E,2022,54990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Electric,22000,,3FMTK3SU4NMA09230,,
Chevrolet,Equinox,2016,15985,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,135760,,,,
Toyota,Sienna,2011,6500,"Minivan, Van",,Used,Front-wheel drive (FWD),Automatic,Gasoline,,371000,,,,
Honda,Civic,2020,60,,,Used,,,,,100000,,,,
Acura,MDX,2011,6260,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,320000,,,,
Buick,Verano,2017,12000,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,212000,,,,
Ford,F-150,2021,52990,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,42000,,1FTEW1EP0MKE01641,,
Ford,F-150,2018,19995,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,235128,,1ftfw1e52jfd05677,,
Nissan,Rogue,2015,3999,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,300000,,,,
Toyota,Venza,2009,12500,"SUV, Crossover",,Used,Front-wheel drive (FWD),Automatic,Gasoline,V 6,190000,,,,
Chevrolet,Express,2015,12500,"Minivan, Van",,Used,Rear-wheel drive (RWD),Automatic,Gasoline,,384000,,,,
