brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Land Rover,Range Rover,2017,45490,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,122036,,SALGS2FE7HA364809,,
Chevrolet,Spark,2019,14999,Red,,Used,Hatchback,Other,Gasoline,KL8CD6SA4KC781688,102906,,N210332A,,
Mitsubishi,Outlander,2023,46495,White,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,18592,,JA4T5UA98PZ615155,,
Mitsubishi,RVR,2022,30495,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,26000,,JA4AJVAW1NU606886,,
Jeep,Compass,2018,27000,Hatchback,,Used,4 x 4,Automatic,Gasoline,,57232,,,,
GMC,Sierra 2500,2010,11000,,,Used,,,,,200000,,,,
Mazda,3,2015,13999,Hatchback,,Used,,,,,147964,,,,
Ram,1500,2017,25699,Grey,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,162946,,1C6RR7LG8HS545319,,
Nissan,Rogue,2019,22763,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,117834,,5N1AT2MV9KC803626,,
Volkswagen,Tiguan,2018,19999,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,127741,,3VV0B7AX2JM157950,,
Volkswagen,Jetta,2000,5750,Other,,Used,Automatic,Gasoline,,,236000,,,,
Hyundai,Tucson,2019,25900,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,72000,,,,
Toyota,4Runner,2012,19895,"SUV, Crossover",,Used,,,,,200300,,,,
Mitsubishi,RVR,2015,15495,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,88567,,4A4AJ4AW9FE609572,,
Jeep,Grand Cherokee,2017,27990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,100169,,1C4RJFAG0HC761429,,
Volkswagen,Tiguan,2020,27990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,76681,,3VV2B7AX0LM132525,,
Ford,C-Max,2013,9200,White,,Used,Hatchback,Front-wheel drive (FWD),Automatic,Hybrid-Electric,220000,,,,
Ford,F-150,2022,58990,Grey,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,32591,,1FTEW1EP6NKD85012,,
MINI,John Cooper Works,2016,24990,Black,,Used,Hatchback,Front-wheel drive (FWD),Manual,Gasoline,66776,,WMWXM9C33H2F66053,,
Ford,F-150,2021,51990,Blue,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,23542,,1FTFW1E89MFC82834,,
Nissan,Rogue,2020,21700,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,83855,,5N1AT2MV7LC766903,,
Ram,1500,2023,52999,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,325,,1C6RR7KG4PS523804,,
Porsche,911,2016,234995,Purple,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,33091,,WP0AF2A93GS192959,,
Dodge,Durango,2021,48495,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,53000,,1C4SDJCT6MC832505,,
Volkswagen,Jetta,2022,27990,White,,Used,Sedan,Other,Automatic,Gasoline,41116,,3VWEM7BU3NM021848,,
Lexus,NX 350,2022,49990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,38637,,JTJKGCEZ8N5001045,,
Chevrolet,Impala,2017,9990,Grey,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,191025,,2G1105SA7H9192745,,
Chevrolet,Blazer,2021,29990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,80839,,3GNKBJR42MS575446,,
Jaguar,F-Type,2016,59989,Grey,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,53000,,SAJXJ6DL6GMK27832,,
