brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Jaguar,F-Type,2020,59880,Black,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,26787,,SAJDD1EV6LCK68135,,
Ford,GT,2022,43880,Black,,Used,Sedan,Rear-wheel drive (RWD),Manual,Gasoline,13000,,1FA6P8CF1N5109362,,
Jeep,Grand Cherokee,2007,19000,"SUV, Crossover",,Used,,,,,170000,,,,
Ford,Ranger,2020,38990,Red,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,39308,,1FTER4FH2LLA89850,,
Toyota,Corolla,2021,23990,White,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,87001,,5YFBPMBE6MP238872,,
Volkswagen,Tiguan,2022,36990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,37635,,3VV2B7AXXNM029129,,
Kia,Soul,2016,14990,Grey,,Used,Hatchback,Other,Automatic,Gasoline,94718,,KNDJP3A59G7252942,,
Toyota,Tundra,2011,15900,Pickup Truck,,Used,4 x 4,Automatic,Gasoline,,288000,,,,
Volkswagen,Tiguan,2015,15800,"SUV, Crossover",,Used,Automatic,,,,69000,,,,
Chevrolet,Silverado 1500,2014,8700,Pickup Truck,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,268000,,,,
Hyundai,Accent,2012,5100,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,240000,,,,
Mitsubishi,RVR,2015,16990,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,88567,,4A4AJ4AW9FE609572,,
Lexus,RX,2010,10990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Hybrid-Electric,348699,,JTJBC1BA5A2022784,,
Mazda,CX-5,2019,24490,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,115923,,JM3KFBEY3K0617212,,
Jeep,Grand Cherokee,2017,28990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,99890,,1C4RJFAG0HC761429,,
Honda,Civic,2020,31477,Blue,,Used,Sedan,Other,Gasoline,2HGFC1E56LH200393,73117,,N550088AA,,
Jeep,Compass,2023,44211,White,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,3C4NJDCN5PT514960,,
Hyundai,Sonata,2015,11990,Black,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,179185,,5NPE34AF7FH058108,,
Ford,F-150,2008,4500,Beige,,Used,Pickup Truck,Rear-wheel drive (RWD),Manual,Gasoline,164000,,,,
Volkswagen,CC,2013,13000,,,Used,,,,,190000,,,,
Mitsubishi,RVR,2017,16990,Black,,Used,"SUV, Crossover",Front-wheel drive (FWD),Gasoline,JA4AH3AU3HZ604479,94342,,PS4479,,
Honda,Civic,2023,31393,Grey,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,4125,,2HGFE2F57PH102588,,
Mitsubishi,Eclipse Cross,2022,27990,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,76062,,JA4ATVAA7NZ600351,,
Ford,F-150,2021,52877,White,,Used,Pickup Truck,Other,Gasoline,1FTFW1E88MKE14232,61331,,N650763A,,
Mazda,CX-5,2016,14000,"SUV, Crossover",,Used,,,,,154000,,,,
Jaguar,XE,2018,24490,Grey,,Used,Sedan,All-wheel drive (AWD),Automatic,Diesel,99207,,SAJAK4FN3JCP17292,,
Plymouth,Prowler,2001,50000,,,Used,,,,,16000,,,,
Land Rover,Defender,2023,83990,Green,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,23000,,SALE26EU3P2127556,,
Ford,Escape,2020,28990,Green,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,22123,,1FMCU9G62LUA42078,,
