brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Honda,Accord,2017,16497,White,,Used,Other,Front-wheel drive (FWD),Automatic,Gasoline,224615,,1HGCR2F52HA808813,,
Chevrolet,Silverado 1500,2020,40990,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,78449,,1GCPYCEF0LZ279777,,
Ford,Explorer,2020,42749,Blue,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,74301,,1FM5K8HC5LGA74034,,
Tesla,Model Y,2022,63999,"SUV, Crossover",,Used,All-wheel drive (AWD),Automatic,Electric,,67000,,,,
Jeep,Other,2023,64490,White,,Used,Other,4 x 4,Automatic,Hybrid-Electric,18017,,1C4JJXR60PW521681,,
Hyundai,Santa Fe,2017,17495,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,127125,,5XYZUDLB6HG400022,,
Hyundai,Tucson,2019,24495,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,65306,,KM8J3CA45KU959593,,
Mitsubishi,Eclipse Cross,2020,28999,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,57491,,JA4AT4AA1LZ609473,,
Chevrolet,Silverado 1500,2021,51749,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,56875,,3GCPYFEDXMG250305,,
Honda,Ridgeline,2019,33652,White,,Used,Pickup Truck,All-wheel drive (AWD),Automatic,Gasoline,115815,,5FPYK3F56KB506249,,
Ford,F-250,2006,14000,,,Used,,,,,190000,,,,
Chevrolet,Cruze,2014,7995,Silver,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,148000,,,,
Jeep,Cherokee,2007,1000,,,Used,,,,,180000,,,,
Volkswagen,Jetta,2012,3500,Sedan,,Used,Automatic,Gasoline,,,235070,,,,
Dodge,Power Ram 3500,2005,20000,Manual,,Used,Diesel,,,,45678,,,,
Chevrolet,C/K Pickup 2500,2008,13500,Pickup Truck,,Used,4 x 4,Automatic,Gasoline,,228000,,,,
Nissan,Versa,2009,500,Hatchback,,Damaged,Automatic,Gasoline,,,254000,,,,
Ford,F-250,2012,10000,,,Used,,,,,63000,,,,
Buick,Verano,2017,12000,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,212000,,,,
GMC,Other,2007,3000,Other,,Used,Rear-wheel drive (RWD),Automatic,Gasoline,,160000,,,,
Toyota,Corolla,2010,3000,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,300000,,,,
Jeep,Other,2023,64490,White,,Used,Other,4 x 4,Automatic,Hybrid-Electric,18017,,1C4JJXR60PW521681,,
Land Rover,Range Rover Evoque,2020,38990,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,20756,,SALZJ2FXXLH014295,,
Hyundai,Accent,2009,2900,Green,,Used,Other,Front-wheel drive (FWD),Gasoline,KMHCN35C69U108269,236291,,TB01491C,,
Jeep,Cherokee,2017,23995,Black,,Used,"SUV, Crossover",Other,Gasoline,1C4PJMJS7HW561159,134375,,PS4077A,,
Kia,Rio,2012,11500,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,105000,,,,
Nissan,Frontier,2003,3995,Pickup Truck,,Used,Rear-wheel drive (RWD),Automatic,Gasoline,V 6,234000,,,,
Audi,Q5,2012,10988,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,200330,,WA1LKCFP0CA121052,,
Ford,F-150,2019,34900,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,67000,,1FTEW1EP9KFB86279,,
Volkswagen,Taos,2022,28990,White,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,62009,,3VVEX7B24NM001179,,
Nissan,Rogue,2017,17988,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,102028,,5N1AT2MV8HC786407,,
Jeep,Renegade,2015,9900,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,242958,,ZACCJBAT7FPT47033,,
Volkswagen,Jetta,2019,24990,Grey,,Used,Sedan,Other,Automatic,Gasoline,50721,,3VWE57BU1KM274143,,
Hyundai,Kona,2021,24500,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,82925,,KM8K2CAAXMU694007,,
Land Rover,Range Rover,2020,89990,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,91426,,SALGV2SE5LA401278,,
Nissan,Frontier,2003,3995,Pickup Truck,,Used,Rear-wheel drive (RWD),Automatic,Gasoline,V 6,234000,,,,
MINI,John Cooper Works Countryman,2021,43490,Black,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,32583,,WMZ33BS01M3N23058,,
Jaguar,XE,2018,26490,Black,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,49164,,SAJAJ4FX3JCP27566,,
Ford,Mustang Mach-E,2022,53990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Electric,22000,,3FMTK3SU4NMA09230,,
Nissan,Altima,2008,3990,Grey,,Used,Coupe (2 door),Front-wheel drive (FWD),Automatic,Gasoline,200736,,1N4BL24EX8C101337,,
Ford,Explorer,2014,13990,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,173385,,1FM5K8D80EGC40903,,
