brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Dodge,Grand Caravan,2015,15000,"Minivan, Van",,Used,Front-wheel drive (FWD),Automatic,Gasoline,,173000,,,,
Chrysler,PT Cruiser,2005,9795,Silver,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,102633,,3C3AY75S65T621919,,
Hyundai,Tucson,2023,33749,Blue,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,14421,,KM8JB3AE2PU197424,,
Chevrolet,Silverado 1500,2020,42990,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,78449,,1GCPYCEF0LZ279777,,
Porsche,Cayenne,2023,116980,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,7037,,WP1BA2AY4PDA27600,,
Honda,Ridgeline,2019,33652,White,,Used,Pickup Truck,All-wheel drive (AWD),Automatic,Gasoline,115815,,5FPYK3F56KB506249,,
Toyota,Tundra,2007,3000,,,Damaged,,,,,500000,,,,
Ford,Escape,2013,6700,,,Used,,,,,245000,,,,
Toyota,Prius Prime,2020,35000,Hatchback,,Used,Front-wheel drive (FWD),Automatic,Hybrid-Electric,,74000,,,,
Jeep,Grand Cherokee,2018,23500,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,230000,,,,
Hyundai,Accent,2010,500,,,Used,,,,,180000,,,,
Jaguar,F-Pace,2020,48990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,11000,,SADCX2GX0LA660498,,
Chrysler,Sebring,2010,3500,Red,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,275000,,,,
Hyundai,Elantra,2023,32899,Grey,,Used,Other,Front-wheel drive (FWD),Automatic,Gasoline,5252,,KMHLN4AG5PU476860,,
Chevrolet,Silverado 1500,2020,42990,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,78449,,1GCPYCEF0LZ279777,,
Toyota,RAV4,2017,25990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,84930,,2T3RFREV3HW585422,,
Kia,Soul,2019,24990,White,,Used,Hatchback,Other,Automatic,Gasoline,28629,,KNDJP3A55K7019830,,
Kia,Sportage,2020,29990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,106634,,KNDPNCAC0L7680231,,
Honda,Civic,2020,29990,Red,,Used,Sedan,Other,Manual,Gasoline,70852,,2HGFC1E57LH200872,,
Toyota,Sienna,2009,6990,Black,,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,244391,,5TDZK23C19S288365,,
Acura,RDX,2019,39990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,43563,,5J8TC2H7XKL802852,,
Land Rover,Range Rover,2020,91990,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,85173,,SALGV2SE5LA401278,,
Land Rover,Range Rover Sport,2020,73990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,66127,,SALWR2SE7LA716969,,
Lexus,LC 500,2021,97990,Red,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,15932,,JTHBP5AY9MA008201,,
BMW,M4,2018,59990,Black,,Used,Other,Rear-wheel drive (RWD),Automatic,Gasoline,64893,,WBS4Z9C55JED22992,,
BMW,X3,2021,36998,Black,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,90141,,5UXTY5C05M9G99708,,
Land Rover,Range Rover,2017,47990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,117021,,SALGS2FE7HA364809,,
Mitsubishi,Outlander,2018,16495,Brown,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,194262,,JA4AZ2A32JZ619043,,
Toyota,Venza,2009,12000,"SUV, Crossover",,Used,Front-wheel drive (FWD),Automatic,Gasoline,,189000,,,,
Jaguar,XE,2018,26990,Black,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,49164,,SAJAJ4FX3JCP27566,,
Nissan,Frontier,2014,16900,,,Used,,,,,196500,,,,
Hyundai,Elantra,2015,8990,White,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,182284,,5NPDH4AE1FH590135,,
Ford,Mustang,2013,18900,Red,,Used,Other,Rear-wheel drive (RWD),Gasoline,1ZVBP8AM2D5200131,70951,,N103538A,,
Honda,Civic,2020,29990,Grey,,Used,Sedan,Other,Automatic,Gasoline,14788,,2HGFC2F54LH020155,,
Mitsubishi,Other,2018,26990,White,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,95974,,JA4J24A55JZ621029,,
Hyundai,Elantra,2012,2999,Silver,,Used,Wagon,Front-wheel drive (FWD),Automatic,Gasoline,241868,,KMHDB8AE4CU153557,,
Acura,RDX,2019,35800,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,59452,,5J8TC2H39KL801995,,
Ford,Edge,2019,23500,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,113869,,2FMPK4J9XKBB50532,,
Ford,Flex,2018,26585,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,131595,,2FMHK6D82JBA19967,,
Ford,Edge,2016,6889,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,309832,,2FMPK4G92GBB68537,,
Volkswagen,Jetta,2017,15437,Red,,Used,Other,Front-wheel drive (FWD),Manual,Gasoline,117376,,3VWB67AJ3HM235117,,
Hyundai,Santa Fe,2013,9138,White,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,207281,,5XYZT3LBXDG076497,,
Ford,Transit,2022,53879,White,,Used,Other,Rear-wheel drive (RWD),Automatic,Gasoline,92556,,1FTBR1Y80NKA11011,,
Ford,F-150,2022,51520,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,86331,,1FTFW1E59NFA99571,,
Ford,Transit,2021,46990,White,,Used,Other,Rear-wheel drive (RWD),Automatic,Gasoline,157003,,1FTBR1Y83MKA09946,,
BMW,X1,2016,20399,Blue,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,153577,,WBXHT3C37GP883343,,
Subaru,Legacy,2013,5990,Silver,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,261159,,4S3BMGB68D3019715,,
Ford,Escape,2017,14495,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,201234,,1FMCU9G90HUA71807,,
Ford,Escape,2015,13594,Other,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,198787,,1FMCU9J90FUC15426,,
Ford,F-150,2022,73080,Grey,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,34674,,1FTFW1E88NFB53646,,
Ford,F-150,2018,39992,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,101459,,1FTEW1E5XJFB91066,,
Ford,Escape,2022,36167,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Hybrid-Electric,50757,,1FMCU9CZ3NUA49544,,
