brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Land Rover,Range Rover Sport,2019,52995,Other,,Used,"SUV, Crossover",Other,Diesel,SALWR2RK9KA826710,125001,,S26710,,
Mitsubishi,RVR,2019,21990,Brown,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,63847,,JA4AJ3AU7KU605529,,
Jeep,Wrangler,2017,32990,Black,,Used,Convertible,4 x 4,Automatic,Gasoline,78017,,1C4BJWEG1HL736714,,
Land Rover,Range Rover Evoque,2021,44990,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,62122,,SALZJ2FX9MH129259,,
Hyundai,Tucson,2019,20495,Black,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,86823,,KM8J23A41KU912743,,
Toyota,Highlander,2013,18749,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,213800,,5TDDK3EH6DS211802,,
Toyota,Corolla,2021,22990,Grey,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,85256,,5YFBPMBE8MP237299,,
Chevrolet,Trax,2019,20990,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,66098,,3GNCJNSB0KL252060,,
Audi,RS3,2018,49997,Silver,,Used,Sedan,Automatic,Gasoline,,83000,,,,
Hyundai,Sonata,2012,5500,,,Used,,,,,171000,,,,
Jaguar,F-Type,2020,59890,Black,,Used,Other,Rear-wheel drive (RWD),Automatic,Gasoline,26787,,SAJDD1EV6LCK68135,,
Jeep,Grand Cherokee,2015,20990,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,98000,,1C4RJFBGXFC858357,,
Ford,Ranger,2010,1500,,,Used,,,,,257000,,,,
Jeep,Other,2023,63490,White,,Used,Other,4 x 4,Automatic,Hybrid-Electric,18017,,1C4JJXR60PW521681,,
Land Rover,Range Rover Evoque,2020,37990,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,20756,,SALZJ2FXXLH014295,,
Honda,Civic,2018,20477,White,,Used,Coupe (2 door),Other,Gasoline,2HGFC3B90JH450826,118898,,S10826,,
