brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Honda,Civic,2018,15999,Sedan,,Used,Front-wheel drive (FWD),Manual,Gasoline,,200,,,,
Honda,CR-V,2014,6494,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,352565,,2HKRM4H39EH109469,,
Ford,F-150,2022,900,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,26500,,1ftfw1e8xnkd84393,,
Volvo,XC90,2019,38490,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,117000,,YV4A22PM8K1502980,,
Chevrolet,Express,2015,13999,"Minivan, Van",,Used,Rear-wheel drive (RWD),Automatic,Gasoline,,384000,,,,
Porsche,911,2016,239990,Purple,,Used,Other,Rear-wheel drive (RWD),Automatic,Gasoline,33091,,WP0AF2A93GS192959,,
Ram,1500,2021,58490,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,61127,,1C6SRFHT6MN717566,,
Mazda,2,2012,5900,Hatchback,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,53000,,,,
Ram,1500,2017,22500,Grey,,Used,Pickup Truck,Automatic,Gasoline,,140000,,,,
Honda,Accord,1999,2500,Brown,,Used,Coupe (2 door),Front-wheel drive (FWD),Automatic,Gasoline,330146,,,,
Honda,Accord,1996,2300,Brown,,Used,Coupe (2 door),Front-wheel drive (FWD),Automatic,Gasoline,239190,,,,
Mazda,2,2011,5500,Hatchback,,Used,Front-wheel drive (FWD),Manual,Gasoline,,123000,,,,
Jaguar,F-Type,2020,59990,Black,,Used,Other,Rear-wheel drive (RWD),Automatic,Gasoline,26787,,SAJDD1EV6LCK68135,,
Hyundai,Elantra,2016,19000,,,Used,,,,,38000,,,,
Kia,Rio,2012,10500,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,105000,,,,
Nissan,Cube,2009,1100,Hatchback,,Used,,,,,270000,,,,
Toyota,Corolla,2017,22000,,,Used,,,,,310000,,,,
Jaguar,F-Pace,2020,43990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,47000,,SADCP2FX0LA643220,,
Ford,Edge,2010,12900,Black,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,144345,,2FMDK4KC3ABA92100,,
Ford,Mustang Mach-E,2022,57888,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Electric,23446,,3FMTK4SXXNMA53071,,
BMW,X6 M,2020,106990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,15000,,5YMCY0C04L9D18277,,
Ford,E-450,2017,22900,"Minivan, Van",,Used,Rear-wheel drive (RWD),Automatic,Gasoline,,149000,,,,
Ford,F-150,2008,4500,Beige,,Used,Pickup Truck,Rear-wheel drive (RWD),Manual,Gasoline,163000,,,,
Ford,GT,2022,43990,Black,,Used,Other,Rear-wheel drive (RWD),Manual,Gasoline,13000,,1FA6P8CF1N5109362,,
Hyundai,Palisade,2023,54200,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,18103,,KM8R3DGE8PU495411,,
Ford,Mustang,2021,47900,Blue,,Used,Other,Rear-wheel drive (RWD),Manual,Gasoline,30328,,1FA6P8CF0M5124319,,
Dodge,Durango,2019,39999,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,61234,,1C4SDJCT7KC711172,,
Hyundai,Tucson,2017,16990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,162686,,KM8J3CA24HU270507,,
Chevrolet,Colorado,2017,26990,Orange,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,124094,,1GCGTBEN3H1322711,,
Ford,F-150,2019,18995,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,249358,,1ftfx1e52kke86009,,
Honda,Civic,2019,22489,Grey,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,74342,,2HGFC2F58KH003163,,
Kia,Sorento,2017,23990,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,56130,,5XYPHDA14HG327870,,
Kia,Rio,2012,10500,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,105000,,,,
Toyota,Highlander,2013,16800,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,226287,,5TDBK3EH4DS203043,,
Toyota,Corolla,2023,26999,Black,,Used,Other,Front-wheel drive (FWD),Automatic,Gasoline,56866,,5YFB4MDE0PP010084,,
Land Rover,Discovery Sport,2017,28900,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,75728,,SALCT2BG9HH715679,,
Mazda,CX-5,2019,26990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,39085,,JM3KFBCM4K0643382,,
Hyundai,Kona,2020,23990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,119095,,KM8K6CAA0LU575336,,
Subaru,Impreza,2020,12899,White,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,314596,,4S3GTAB62L3704040,,
Mercedes-AMG,C-Class,2016,26900,Red,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,141831,,55SWF6EB0GU160749,,
Honda,Civic,2020,22800,Black,,Used,Other,Front-wheel drive (FWD),Automatic,Gasoline,151364,,2HGFC2F8XLH006268,,
Ford,F-150,2016,23900,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,181559,,1FTFW1EG8GFD03524,,
Hyundai,Elantra,2013,9999,Silver,,Used,Other,Front-wheel drive (FWD),Manual,Gasoline,106413,,KMHD25LE0DU142715,,
Mitsubishi,Eclipse Cross,2020,22749,Brown,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,88074,,JA4AT3AA6LZ602030,,
Ford,F-150,2015,29690,Blue,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,191000,,1FTEW1EG8FFC23943,,
Ford,F-350,2022,87888,Black,,Used,Pickup Truck,4 x 4,Automatic,Diesel,43582,,1FT8W3BT5NEF00482,,
Ford,F-350,2019,57500,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,122000,,1FT8W3B60KED20297,,
Jeep,Renegade,2015,9900,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,242958,,ZACCJBAT7FPC47033,,
Ford,F-150,2020,42888,Brown,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,49201,,1FTEW1EP1LFB58087,,
Ford,F-150,2016,54299,Pickup Truck,,Used,4 x 4,Automatic,Gasoline,1FTEW1EF2GFC93527,142056,,NF59907A,,
Ford,F-150,2015,24900,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,188987,,1FTEW1EP0FKE90436,,
Ford,Escape,2017,16990,Blue,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,119308,,1FMCU9G90HUB10900,,
Hyundai,Santa Fe,2017,16990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,127125,,5XYZUDLB6HG400022,,
Hyundai,Tucson,2019,21990,Grey,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,52110,,KM8J23A48KU027360,,
Mitsubishi,Eclipse Cross,2020,27999,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,57491,,JA4AT4AA1LZ609473,,
Kia,Forte,2021,25990,Grey,,Used,Sedan,Other,Automatic,Gasoline,65353,,3KPF54AD0ME333574,,
Infiniti,QX60,2015,9288,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,219780,,5N1AL0MM6FC534275,,
GMC,Other,2007,2500,"Minivan, Van",,Used,Rear-wheel drive (RWD),Automatic,Gasoline,,160000,,,,
Ford,Escape,2014,14990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,90737,,1FMCU0GX4EUD39148,,
Toyota,Corolla,2010,2700,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,300000,,,,
Nissan,Frontier,2012,17990,Grey,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,154787,,1N6AD0EV8CC454574,,
Audi,Q7,2020,59990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,42175,,WA1MXAF74LD010884,,
Lexus,RX,2017,36990,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,130985,,2T2BZMCA0HC081301,,
Ford,Fusion,2018,22990,Silver,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,38925,,3FA6P0D9XJR279267,,
Chevrolet,Spark,2017,13990,Grey,,Used,Hatchback,Other,Automatic,Gasoline,122075,,KL8CD6SA3HC806301,,
Mazda,CX-3,2021,33990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,75461,,JM1DKFD76M1512335,,
Dodge,Grand Caravan,2020,30990,Grey,,Used,"Minivan, Van",Other,Automatic,Gasoline,89449,,2C4RDGEG2LR205615,,
Hyundai,Elantra,2017,17990,Blue,,Used,Sedan,Other,Automatic,Gasoline,122586,,5NPD74LF0HH149950,,
Nissan,Rogue,2015,3799,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,300000,,,,
BMW,6-Series,2016,35495,Black,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,92846,,WBA6D6C52GG387769,,
Mitsubishi,Outlander,2023,50999,White,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,18592,,JA4T5UA98PZ615155,,
Dodge,Grand Caravan,2015,15499,,,Used,,,,,172000,,,,
Ford,F-150,2019,18995,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,249358,,1ftfx1e52kke86009,,
Nissan,Versa,2021,25990,Black,,Used,Sedan,Other,Automatic,Gasoline,83832,,3N1CN8EV9ML865563,,
Mercedes-Benz,CLA,2017,23490,White,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,92000,,WDDSJ4GB4HN481654,,
Dodge,Journey,2015,7990,Blue,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,195219,,3C4PDCCG2FT557856,,
BMW,3-Series,2022,64990,Black,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,20435,,WBA5U9C07NFL97993,,
Toyota,RAV4,2007,1234,Automatic,,Used,,,,,540000,,,,
Ford,Bronco II,2021,47900,Orange,,Used,Other,4 x 4,Automatic,Gasoline,36856,,1FMDE5AP0MLA75325,,
Chevrolet,Silverado 1500,2015,12900,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,307196,,3GCUKREC6FG365290,,
BMW,3-Series,2011,2700,,,Used,,,,,250112,,,,
Genesis,G80,2023,66500,Blue,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,6113,,KMTGB4SC1PU180682,,
Land Rover,Range Rover,2022,112990,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,30000,,SALGS2SEXNA458619,,
Land Rover,Defender,2023,92640,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,3050,,SALE26EU7P2214568,,
Pontiac,G5,2009,2900,Other,,Used,Front-wheel drive (FWD),Manual,Gasoline,1G2AS55H597282882,100312,,NC71044A,,
Hyundai,Sonata,2021,31888,Other,,Used,Front-wheel drive (FWD),Automatic,Gasoline,5NPEH4J28MH066925,11624,,PS6925,,
Ford,F-350,2020,76500,Red,,Used,Pickup Truck,4 x 4,Automatic,Diesel,67000,,1FT8W3BTXLED18211,,
Toyota,Corolla,2016,14990,Silver,,Used,Other,Front-wheel drive (FWD),Automatic,Gasoline,146905,,2T1BURHE8GC541573,,
Chevrolet,Silverado 1500,2021,47995,Red,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,73905,,3GCUYEED4MG160807,,
Nissan,Rogue,2021,31990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,77659,,5N1AT3BB2MC730729,,
Jeep,Wrangler,2023,59877,Silver,,Used,"SUV, Crossover",Other,Gasoline,1C4HJXEG3PW529917,1678,,T139064A,,
Ram,1500,2021,61655,White,,Used,Pickup Truck,Other,Hybrid-Electric,1C6SRFHT9MN514963,43685,,N188502A,,
Ram,1500,2022,68900,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,13000,,,,
Hyundai,Tucson,2022,26877,Grey,,Used,"SUV, Crossover",Other,Gasoline,KM8JB3AE8NU035052,50137,,PS5052,,
Ford,Other,1981,0,Other,,Used,Manual,Gasoline,,,15000,,,,
Honda,Civic,2019,22489,Grey,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,74342,,2HGFC2F58KH003163,,
Mitsubishi,Outlander,2023,50999,White,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,18592,,JA4T5UA98PZ615155,,
Volvo,XC90,2019,38490,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,117000,,YV4A22PM8K1502980,,
Kia,Rio,2012,10500,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,105000,,,,
Ford,F-150,2022,900,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,26500,,1ftfw1e8xnkd84393,,
Porsche,Cayenne,2023,117650,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,11673,,WP1AA2AY2PDA09950,,
Lexus,RX,2017,35495,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,98415,,2T2BZMCA2HC089240,,
Porsche,Cayenne,2022,137990,Other,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,19086,,WP1AG2AYXNDA38835,,
Porsche,911,2012,96990,Other,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,60000,,WP0CB2A92CS754719,,
Kia,Rondo,2011,5000,,,Used,,,,,213000,,,,
Kia,Sorento,2011,5000,"SUV, Crossover",,Used,Manual,Gasoline,,,238000,,,,
Dodge,Journey,2012,9300,,,Used,,,,,145389,,,,
Dodge,Journey,2010,5300,"SUV, Crossover",,Used,Front-wheel drive (FWD),Automatic,Gasoline,,148317,,,,
Audi,S5,2016,33000,Black,,Used,Coupe (2 door),Automatic,Gasoline,,77000,,,,
Dodge,Charger,2023,57045,Grey,,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,0,,2C3CDXMG8PH706239,,
Dodge,Charger,2023,57440,Blue,,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,0,,2C3CDXMG6PH706238,,
Hyundai,Elantra,2020,19999,Black,,Used,Sedan,Automatic,Gasoline,,51000,,,,
Jeep,Wrangler Unlimited,2016,14999,Grey,,Used,Convertible,4 x 4,Manual,Gasoline,155000,,,,
Ram,1500,2023,52148,Black,,New,Pickup Truck,Other,Automatic,Gasoline,0,,3C6RR7KGXPG673732,,
Ram,1500 Classic,2023,54868,Black,,New,Pickup Truck,Other,Automatic,Gasoline,0,,3C6RR7KT5PG674025,,
Ram,1500 Classic,2023,54447,White,,New,Pickup Truck,Other,Automatic,Gasoline,0,,3C6RR7KT7PG674026,,
Ram,1500 Classic,2023,54868,Black,,New,Pickup Truck,Other,Automatic,Gasoline,0,,3C6RR7KT9PG674027,,
Dodge,Charger,2023,57045,White,,New,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,0,,2C3CDXMG4PH706240,,
Ram,1500,2023,52148,Black,,New,Pickup Truck,Other,Automatic,Gasoline,0,,3C6RR7KG1PG673733,,
Ford,F-150,2018,31990,Silver,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,94558,,1FTEW1EP6JFC90162,,
Mitsubishi,RVR,2023,28990,Brown,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,12203,,JA4AJVAW6PU600875,,
Chevrolet,Silverado 1500,2021,50999,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,56875,,3GCPYFEDXMG250305,,
Dodge,Power Ram 1500,2016,24995,Off-White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,141470,,,,
Toyota,Sienna,2015,54900,"Minivan, Van",,Used,Automatic,Gasoline,,,61000,,,,
Hyundai,Elantra,2010,6500,,,Used,,,,,166000,,,,
Kia,Rio,2012,10500,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,105000,,,,
Honda,CR-V,2021,31900,White,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,63902,,2HKRW2H24MH238921,,
Land Rover,Discovery Sport,2020,38490,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,49744,,SALCJ2FX6LH840390,,
Dodge,Grand Caravan,2015,15499,,,Used,,,,,172000,,,,
Acura,TLX,2015,20749,Blue,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,104575,,19UUB3F78FA804228,,
