brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Kia,Rio,2012,9995,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,105000,,,,
Toyota,Venza,2009,11500,"SUV, Crossover",,Used,Front-wheel drive (FWD),Automatic,Gasoline,,191000,,,,
Dodge,Journey,2016,13990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,142346,,3C4PDDFG9GT121847,,
Porsche,911,2016,234995,Purple,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,33091,,WP0AF2A93GS192959,,
Jeep,Other,2024,142366,White,,New,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,0,,1C4SJSFP7RS160805,,
Kia,Carnival,2024,52495,Grey,,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,13586,,KNDNE5H39R6325808,,
Mitsubishi,RVR,2019,16749,Blue,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,168298,,JA4AH3AU9KU606046,,
Mitsubishi,Outlander,2023,45999,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,8120,,JA4T5UA94PZ606727,,
Honda,Odyssey,2022,43495,Silver,,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,55728,,5FNRL6H6XNB500282,,
Audi,Q5,2020,35490,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,73000,,WA1CNAFY6L2078884,,
Land Rover,Range Rover Velar,2021,53989,White,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,66000,,SALYT2EUXMA300400,,
Ford,F-150,2014,14990,Other,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,176964,,1FTFW1EF2EFA51645,,
Ford,Escape,2013,8500,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,203669,,1FMCU9G99DUA03189,,
Kia,Sportage,2013,10900,"SUV, Crossover",,Used,,,,,122000,,,,
Ford,E-450,2016,30000,White,,Used,"Minivan, Van",Automatic,Gasoline,,118000,,,,
Ford,F-150,2016,24000,,,Used,,,,,225000,,,,
Honda,Civic,2018,14500,Sedan,,Used,Front-wheel drive (FWD),Manual,Gasoline,,201000,,,,
Kia,Rio,2012,9995,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,105000,,,,
Mercedes-Benz,M-Class,2012,16900,"SUV, Crossover",,Used,All-wheel drive (AWD),Automatic,Gasoline,,127000,,,,
Ram,1500,2011,20500,,,Used,,,,,115200,,,,
