brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Mitsubishi,RVR,2016,15699,Grey,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,150698,,JA4AH3AU4GZ609334,,
Chevrolet,Spark,2019,16555,White,,Used,Hatchback,Other,Gasoline,KL8CD6SA2KC796917,83243,,PS6917,,
Dodge,Durango,2021,48990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,53000,,1C4SDJCT6MC832505,,
Subaru,Outback,2020,33495,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,75989,,4S4BTHND5L3180083,,
Honda,Civic,2012,10000,Coupe (2 door),,Used,Front-wheel drive (FWD),Automatic,Gasoline,,172000,,,,
Lincoln,MKX,2013,1000,,,Used,,,,,540000,,,,
Hyundai,Sonata,2009,4500,Sedan,,Used,Automatic,Gasoline,,,199000,,,,
Dodge,Grand Caravan,2015,10500,"Minivan, Van",,Used,Front-wheel drive (FWD),Automatic,Gasoline,,179380,,,,
Dodge,Grand Caravan,2010,2500,"Minivan, Van",,Used,Automatic,Gasoline,,,225660,,,,
Buick,Lucerne,2011,3500,Beige,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,218000,,,,
Chevrolet,Silverado 1500,2010,3000,,,Used,,,,,330000,,,,
Bugatti,Other,1957,23000,Beige,,Used,Other,Rear-wheel drive (RWD),Automatic,Gasoline,30000,,,,
Dodge,Other Pickups,1946,19800,Black,,Used,Pickup Truck,4 x 4,Automatic,Diesel,42000,,,,
Mitsubishi,RVR,2015,16990,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,88567,,4A4AJ4AW9FE609572,,
Jeep,Grand Cherokee,2017,28990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,100169,,1C4RJFAG0HC761429,,
Ford,Fusion,2017,16900,Burgundy,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,92000,,,,
Hyundai,Sonata,2015,11990,Black,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,179185,,5NPE34AF7FH058108,,
Ford,F-150,2022,76915,Pickup Truck,,Used,4 x 4,Automatic,Gasoline,1FTEW1EP6NKD85012,32590,,PL5012,,
Honda,Civic,2020,60,,,Used,,,,,100000,,,,
Ford,F-150,2020,43990,Grey,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,29027,,1FTEW1E55LFB82360,,
Hyundai,Santa Fe,2009,5500,Green,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,190,,,,
Dodge,Grand Caravan,2015,13999,"Minivan, Van",,Used,Front-wheel drive (FWD),Automatic,Gasoline,,172000,,,,
Mitsubishi,RVR,2016,15699,Grey,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,150698,,JA4AH3AU4GZ609334,,
Nissan,Kicks,2019,18749,Black,,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,110413,,3N1CP5CU6KL503769,,
Hyundai,Santa Fe,2009,5500,Green,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,190,,,,
Ford,F-150,2021,51990,Blue,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,23327,,1FTFW1E89MFC82834,,
Honda,Civic,2019,19000,Grey,,Used,Sedan,Front-wheel drive (FWD),Manual,Gasoline,99000,,,,
