brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Volkswagen,Golf R,2018,36900,Black,,Used,Hatchback,All-wheel drive (AWD),Manual,Other,127000,,WVWWF7AUXJW205794,,
Dodge,Grand Caravan,2015,13999,"Minivan, Van",,Used,Front-wheel drive (FWD),Automatic,Gasoline,,172000,,,,
Land Rover,Range Rover Evoque,2020,39490,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,51000,,SALZJ2FX7LH120672,,
BMW,M4,2018,62795,Black,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,64893,,WBS4Z9C55JED22992,,
Chevrolet,Equinox,2016,17990,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,93034,,2GNFLFE32G6324471,,
Mitsubishi,Eclipse Cross,2022,27495,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,50998,,JA4ATVAA2NZ611600,,
Ford,Focus,2012,6000,Hatchback,,Used,Front-wheel drive (FWD),Manual,Gasoline,,258000,,,,
Ford,Explorer,2016,19988,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,157649,,1FM5K8F8XGGA53894,,
Ford,Bronco II,2021,47500,Orange,,Used,Convertible,4 x 4,Automatic,Gasoline,36856,,1FMDE5AP0MLA75325,,
Mitsubishi,RVR,2020,23749,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,68720,,JA4AJ4AW2LU602806,,
Nissan,MICRA,2015,7880,White,,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,135966,,3N1CK3CP9FL223802,,
Ford,Fiesta,2016,14990,Grey,,Used,Hatchback,All-wheel drive (AWD),Automatic,Gasoline,57186,,3FADP4EJ5GM155520,,
Ford,Edge,2022,37990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,60029,,2FMPK4K95NBA62412,,
Mitsubishi,Eclipse Cross,2022,27749,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,76062,,JA4ATVAA7NZ600351,,
Hyundai,Tucson,2014,4800,Blue,,Used,"SUV, Crossover",Front-wheel drive (FWD),Manual,Gasoline,178068,,KM8JT3AF5EU896100,,
