brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Acura,TLX,2015,20749,Blue,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,104575,,19UUB3F78FA804228,,
Ford,Explorer,2021,47994,Black,,Used,Other,4 x 4,Automatic,Gasoline,68946,,1FM5K8GC2MGB08255,,
Ford,F-150,2017,19995,Grey,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,236792,,1ftfx1ef0hkc93794,,
Toyota,RAV4,2017,25990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,84930,,2T3RFREV3HW585422,,
Dodge,Grand Caravan,2015,15999,"Minivan, Van",,Used,Front-wheel drive (FWD),Automatic,Gasoline,,173000,,,,
Audi,Q7,2018,29980,Other,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,184449,,WA1MAAF77JD042601,,
Land Rover,Range Rover Evoque,2021,47990,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,62122,,SALZJ2FX9MH129259,,
Toyota,Camry,2007,6000,Sedan,,Used,Automatic,Hybrid-Electric,,,245000,,,,
Hyundai,Elantra,2013,5700,Sedan,,Used,,,,,113600,,,,
Scion,FR-S,2016,22500,,,Used,,,,,36000,,,,
Mazda,3,2008,800,Sedan,,Used,Front-wheel drive (FWD),Manual,Gasoline,,268000,,,,
Honda,Civic,2018,22990,Other,,Used,Other,Front-wheel drive (FWD),Automatic,Gasoline,65234,,2HGFC2F50JH041288,,
Mercedes-Benz,B-Class,2017,21749,White,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,64143,,WDDMH4GB2HJ430701,,
Buick,Verano,2017,11999,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,212000,,,,
Land Rover,Range Rover Evoque,2020,39990,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,20756,,SALZJ2FXXLH014295,,
Mitsubishi,RVR,2020,24495,Blue,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,65202,,JA4AJ3AU9LU602293,,
Mitsubishi,Outlander,2019,24995,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,80445,,JA4AZ2A39KZ608977,,
Toyota,Corolla,2020,24749,Silver,,Used,Other,Front-wheel drive (FWD),Automatic,Gasoline,10,,5YFBPRBE3LP138241,,
Land Rover,Range Rover,2020,91990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,50017,,SALGV2SE3LA595390,,
Land Rover,Range Rover Evoque,2021,47990,Brown,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,62210,,SALZL2FX0MH144470,,
Land Rover,Range Rover Evoque,2023,56990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,28223,,SALZJ2FXXPH211733,,
Land Rover,Range Rover Evoque,2021,48990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,35030,,SALZJ2FX7MH125825,,
Ford,Flex,2019,28850,Other,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,137662,,2FMHK6C84KBA11260,,
