brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Ford,Explorer,2020,39990,Blue,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,74301,,1FM5K8HC5LGA74034,,
Dodge,Grand Caravan,2019,22995,Red,,Used,"Minivan, Van",Other,Gasoline,2C4RDGBG1KR612604,110275,,N185234B,,
Chevrolet,Silverado 2500,2022,88995,Black,,Used,Pickup Truck,4 x 4,Automatic,Diesel,53500,,2gc4yrey0n1205018,,
Volkswagen,GTI,2023,34399,White,,Used,Hatchback,Front-wheel drive (FWD),Manual,Gasoline,22250,,WVWHA7CD0PW135333,,
Mitsubishi,Eclipse Cross,2022,27495,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,50998,,JA4ATVAA2NZ611600,,
Hyundai,Accent,2014,8000,Red,,Used,Sedan,Front-wheel drive (FWD),Manual,Gasoline,167000,,,,
Jeep,Wrangler,2017,34500,Other,,Used,,,,,85452,,,,
Subaru,Impreza,2012,7500,Silver,,Used,Hatchback,Manual,Gasoline,,173000,,,,
Chevrolet,Cruze,2015,3500,Blue,,Used,Sedan,Automatic,Gasoline,,226737,,,,
Honda,Pilot,2012,12600,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,273000,,,,
Dodge,Power Ram 2500,2008,32000,,,Used,,,,,150000,,,,
Chevrolet,Corvette,2021,97500,Red,,Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,Gasoline,7144,,1G1YA2D42M5118951,,
Ford,F-150,2017,19995,Grey,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,176792,,1ftfx1ef0hkc93794,,
Ford,F-150,2022,879,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,26500,,1ftfw1e8xnkd84393,,
Ford,F-350,2007,12000,,,Used,,,,,240000,,,,
Toyota,Highlander,2013,15490,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,226289,,5TDBK3EH4DS203043,,
Land Rover,Range Rover Evoque,2021,45990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,35030,,SALZJ2FX7MH125825,,
Mitsubishi,Eclipse Cross,2022,27495,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,50998,,JA4ATVAA2NZ611600,,
Mazda,CX-3,2020,23996,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,78108,,JM1DKFC78L1468578,,
Toyota,Highlander,2013,15490,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,226289,,5TDBK3EH4DS203043,,
Land Rover,Discovery Sport,2020,35990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,49777,,SALCJ2FX6LH840390,,
Ford,Explorer,2020,37990,Brown,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,65621,,1FMSK8FH6LGC05263,,
Subaru,Outback,2020,33495,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,75989,,4S4BTHND5L3180083,,
Toyota,Corolla,2023,24990,Black,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,57092,,5YFB4MDE0PP010084,,
Mitsubishi,Outlander,2023,47990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,6082,,JA4T5UA94PZ606727,,
Nissan,Frontier,2012,18990,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,120093,,1N6AD0CW4CC465454,,
Honda,Civic,2020,60,,,Used,,,,,100000,,,,
Dodge,Grand Caravan,2012,3999,Red,,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,207134,,2C4RDGBG2CR349914,,
Kia,Sportage,2020,24749,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,70531,,KNDPNCAC5L7718312,,
Hyundai,Accent,2009,1999,Green,,Used,Hatchback,Front-wheel drive (FWD),Gasoline,KMHCN35C69U108269,236298,,TB01491C,,
Jeep,Cherokee,2014,9800,,,Used,,,,,134000,,,,
Ford,F-150,2020,39788,Other,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,73198,,1FTEW1E5XLFC43881,,
Chevrolet,Cruze,2016,12699,Black,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,119452,,1G1PG5SB1G7135567,,
Mitsubishi,RVR,2017,15990,Black,,Used,"SUV, Crossover",Front-wheel drive (FWD),Gasoline,JA4AH3AU3HZ604479,94342,,PS4479,,
Land Rover,Range Rover,2020,86490,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,91426,,SALGV2SE5LA401278,,
Mercedes-AMG,C-Class,2016,28990,Grey,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,99000,,55SWF6EB5GU155644,,
Honda,CR-V,2017,23490,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,97017,,2HKRW2H50HH136306,,
Ford,Mustang Mach-E,2022,51490,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Electric,22000,,3FMTK3SU4NMA09230,,
GMC,Sierra 2500HD,2017,59990,Black,,Used,Pickup Truck,4 x 4,Automatic,Diesel,114967,,1GT12UEYXHF145544,,
Hyundai,Accent,2019,16990,Silver,,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,81731,,3KPC25A30KE074042,,
Mitsubishi,Eclipse Cross,2022,27749,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,76062,,JA4ATVAA7NZ600351,,
Ford,Mustang,2013,18900,Red,,Used,Sedan,Rear-wheel drive (RWD),Gasoline,1ZVBP8AM2D5200131,70951,,N103538A,,
Ford,Escape,2022,29500,Other,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,56284,,1FMCU9H64NUA55903,,
Ford,Flex,2018,22990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,131595,,2FMHK6D82JBA19967,,
Ford,F-250,2018,49990,Silver,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,149796,,1FT7W2B69JEC15388,,
Honda,Civic,2016,15990,Blue,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,191187,,2HGFC1F99GH109688,,
Hyundai,Tucson,2016,15899,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,143981,,KM8J3CA40GU241098,,
Ford,Transit,2021,45990,White,,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,157612,,1FTBR1Y83MKA09946,,
Honda,Odyssey,2022,46990,Silver,,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,55728,,5FNRL6H6XNB500282,,
Chevrolet,Trailblazer,2021,23995,Black,,Used,"SUV, Crossover",Other,Gasoline,KL79MPS21MB000809,106500,,S30809,,
Land Rover,Range Rover Evoque,2021,45990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,35030,,SALZJ2FX7MH125825,,
Chevrolet,Corvette,2021,97500,Red,,Used,Coupe (2 door),Rear-wheel drive (RWD),Automatic,Gasoline,7144,,1G1YA2D42M5118951,,
Kia,Sportage,2020,24749,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,70531,,KNDPNCAC5L7718312,,
Mitsubishi,Outlander,2014,12495,Blue,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,157201,,JA4JZ4AX5EZ605027,,
BMW,X1,2013,8990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,173167,,WBAVL1C53DVR86320,,
Ford,Escape,2022,35990,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Hybrid-Electric,50757,,1FMCU9CZ3NUA49544,,
Ford,F-150,2022,80990,Blue,,Used,Pickup Truck,4 x 4,Automatic,Hybrid-Electric,14897,,1FTFW1ED2NFB64722,,
Chevrolet,Cruze,2015,6590,Blue,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,177000,,1G1PC5SB3F7257759,,
Dodge,Durango,2018,26990,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,128400,,1C4RDJDGXJC232002,,
BMW,X1,2021,36990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,79936,,WBXJG9C05M5T92873,,
Lexus,RX,2017,34990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,90358,,2T2BZMCA4HC123940,,
Volkswagen,Tiguan,2020,30990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,56334,,3VV4B7AX1LM021717,,
Buick,Envision,2021,38990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,46219,,LRBFZSR4XMD181283,,
Honda,Fit,2009,7488,Black,,Used,Hatchback,Front-wheel drive (FWD),Manual,Gasoline,195906,,JHMGE87529S808026,,
BMW,X2,2022,35990,White,,Used,"SUV, Crossover",Other,Automatic,Gasoline,80989,,WBXYJ1C09N5T64397,,
Nissan,Sentra,2021,23990,Red,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,89692,,3N1AB8CV4MY255219,,
Dodge,Power Ram 3500,2008,0,,,Used,,,,,250000,,,,
Hyundai,Santa Fe,2021,31990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,82934,,5NMS3DAJ9MH355981,,
Toyota,Camry,2021,28990,Grey,,Used,Sedan,Other,Automatic,Gasoline,88023,,4T1G11AKXMU579977,,
Toyota,RAV4,2021,33990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,87145,,2T3B1RFVXMC210993,,
Ford,F-150,2019,26990,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,196195,,1FTEW1EP3KKE54105,,
Chevrolet,Blazer,2021,41990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,47524,,3GNKBKRS2MS523612,,
Chevrolet,Malibu,2022,25990,Silver,,Used,Sedan,Other,Automatic,Gasoline,64861,,1G1ZD5STXNF144796,,
GMC,Savana,2020,40995,White,,Used,Other,4 x 4,Automatic,Gasoline,46563,,1G1W7AFG0L1268366,,
Chrysler,Sebring,2010,1500,,,Used,,,,,204000,,,,
Jaguar,XE,2018,24490,Grey,,Used,Sedan,All-wheel drive (AWD),Automatic,Diesel,99207,,SAJAK4FN3JCP17292,,
Mitsubishi,Eclipse Cross,2022,27495,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,50998,,JA4ATVAA2NZ611600,,
Honda,Odyssey,2022,46990,Silver,,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,55728,,5FNRL6H6XNB500282,,
Jeep,Grand Cherokee,2021,50998,Red,,Used,"SUV, Crossover",Other,Gasoline,1C4RJKDGXM8127286,65974,,PA7286,,
Ford,Explorer,2020,39990,Blue,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,74301,,1FM5K8HC5LGA74034,,
Mitsubishi,RVR,2017,15990,Black,,Used,"SUV, Crossover",Front-wheel drive (FWD),Gasoline,JA4AH3AU3HZ604479,94342,,PS4479,,
Mitsubishi,Eclipse Cross,2022,27495,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,50998,,JA4ATVAA2NZ611600,,
Jaguar,F-Type,2019,55890,Grey,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,52670,,SAJDD1EV7KCK61399,,
Ford,Mustang,2021,36500,Black,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,41920,,1FATP8UH6M5131195,,
Ford,Mustang,2019,49500,Coupe (2 door),,Used,Manual,,,,38000,,,,
Volkswagen,Passat,2015,8900,Sedan,,Used,Front-wheel drive (FWD),Automatic,Diesel,,282000,,,,
Ford,Mustang,1989,16000,,,Used,,,,,135000,,,,
Ram,1500,2024,53635,Black,,New,Pickup Truck,Other,Automatic,Gasoline,0,,1C6RRFCG1RN113584,,
BMW,M4,2018,62795,Black,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,64893,,WBS4Z9C55JED22992,,
Ram,1500,2024,65070,Red,,New,Pickup Truck,Other,Automatic,Gasoline,0,,1C6SRFLT0RN145635,,
Dodge,Power Ram 1500,2008,0,Red,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,223000,,,,
Land Rover,Range Rover Evoque,2020,5000,"SUV, Crossover",,Lease Takeover,All-wheel drive (AWD),Automatic,Gasoline,,48000,,,,
Toyota,Prius,2015,19990,Sedan,,Used,Front-wheel drive (FWD),Automatic,Hybrid-Electric,,76000,,,,
BMW,5-Series,2018,42000,Sedan,,Used,All-wheel drive (AWD),Automatic,Gasoline,,24000,,,,
Jeep,Compass,2024,40886,Black,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,3C4NJDBN8RT598518,,
Jeep,Compass,2024,40838,White,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,3C4NJDBN8RT598521,,
Jeep,Compass,2024,40886,Black,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,3C4NJDBN6RT598517,,
Jeep,Compass,2024,40838,Blue,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,3C4NJDBNXRT598519,,
Jeep,Compass,2024,40838,White,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,3C4NJDBNXRT598522,,
Jeep,Compass,2024,40933,Black,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,3C4NJDBN4RT598516,,
Jeep,Compass,2024,44595,Grey,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,3C4NJDDN3RT594275,,
Jeep,Compass,2024,40933,Black,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,3C4NJDBN2RT598515,,
Volkswagen,GTI,2023,34399,White,,Used,Hatchback,Front-wheel drive (FWD),Manual,Gasoline,22250,,WVWHA7CD0PW135333,,
GMC,Sierra 1500,2024,73319,Black,,New,Pickup Truck,Other,Automatic,Gasoline,0,,1GTUUCED6RZ180127,,
Ford,Explorer,2020,39990,Blue,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,74301,,1FM5K8HC5LGA74034,,
Toyota,Highlander,2013,15490,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,226289,,5TDBK3EH4DS203043,,
Land Rover,Discovery Sport,2020,35990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,49777,,SALCJ2FX6LH840390,,
Kia,Carnival,2024,52990,Grey,,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,13586,,KNDNE5H39R6325808,,
Mitsubishi,RVR,2016,15699,Grey,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,150698,,JA4AH3AU4GZ609334,,
Ram,1500,2023,50224,Black,,New,Pickup Truck,Other,Automatic,Gasoline,0,,1C6RR7LT1PS598682,,
Acura,RDX,2008,3800,,,Used,,,,,360000,,,,
Ram,Other,2023,50184,Blue,,New,Pickup Truck,Other,Automatic,Gasoline,0,,1C6RR7LT3PS598683,,
Land Rover,Discovery Sport,2020,35990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,49777,,SALCJ2FX6LH840390,,
Toyota,RAV4,2007,7000,"SUV, Crossover",,Used,Automatic,,,,190000,,,,
Ford,Mustang,1990,11111,,,Used,,,,,125430,,,,
BMW,1-Series,2008,9000,,,Used,,,,,200000,,,,
Honda,Civic,2014,12500,Coupe (2 door),,Used,,,,,120000,,,,
Honda,HR-V,2020,26490,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,103992,,3CZRU6H93LM100039,,
Kia,Carnival,2024,52990,Grey,,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,13586,,KNDNE5H39R6325808,,
Honda,Odyssey,2022,46990,Silver,,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,55728,,5FNRL6H6XNB500282,,
Kia,Sportage,2020,24749,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,70531,,KNDPNCAC5L7718312,,
Mitsubishi,RVR,2017,15990,Black,,Used,"SUV, Crossover",Front-wheel drive (FWD),Gasoline,JA4AH3AU3HZ604479,94342,,PS4479,,
Jeep,Compass,2024,45018,Black,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,3C4NJDDN8RT594269,,
Jeep,Compass,2024,45018,Silver,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,3C4NJDDN0RT594265,,
Jeep,Wrangler,2024,59730,White,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXAN9RW159981,,
Jeep,Wrangler,2024,59925,Silver,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXAN1RW159988,,
Jeep,Wrangler,2024,69645,Black,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXCG7RW177782,,
Ram,Other,2023,44916,White,,New,Pickup Truck,Other,Automatic,Gasoline,0,,3C6JR7ET3PG661573,,
Ram,Other,2023,50216,Blue,,New,Pickup Truck,Other,Automatic,Gasoline,0,,1C6RR7KT9PS577709,,
Jeep,Wrangler,2024,69645,Silver,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,1C4PJXCG9RW177783,,
Ram,1500,2023,53276,Red,,New,Pickup Truck,Other,Automatic,Gasoline,0,,1C6RR7LT4PS577132,,
Jeep,Compass,2024,44971,Blue,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,3C4NJDDN4RT594270,,
Jeep,Compass,2024,45018,Black,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,3C4NJDDN6RT594268,,
Jeep,Compass,2024,44971,Blue,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,3C4NJDDN6RT594271,,
Jeep,Compass,2024,44971,White,,New,"SUV, Crossover",Other,Automatic,Gasoline,0,,3C4NJDDN8RT594272,,
Porsche,Cayenne,2023,112495,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,7042,,WP1BA2AY4PDA27600,,
Porsche,911,2019,159990,Grey,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,27090,,WP0BB2A98KS126190,,
Porsche,Macan,2020,71995,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,51464,,WP1AG2A57LLB55829,,
Porsche,Cayenne,2023,104899,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,8006,,WP1AA2AY9PDA10352,,
Porsche,Taycan,2022,166498,Blue,,Used,"Minivan, Van",All-wheel drive (AWD),Automatic,Electric,19960,,WP0BB2Y1XNSA71104,,
Porsche,Cayenne,2023,109495,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,9799,,WP1BA2AY3PDA27314,,
Porsche,Macan,2021,59996,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,63456,,WP1AA2A52MLB02054,,
Porsche,718,2020,79990,White,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,28797,,WP0AA2A88LS260141,,
Porsche,Macan,2021,63494,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,18917,,WP1AA2A56MLB13137,,
Porsche,911,2016,234995,Purple,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,33091,,WP0AF2A93GS192959,,
Porsche,Macan,2015,32495,Other,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,123194,,WP1AB2A59FLB43278,,
Porsche,Cayenne,2021,116094,Orange,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,60147,,WP1BG2AY3MDA49906,,
Kia,Sportage,2020,24749,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,70531,,KNDPNCAC5L7718312,,
Porsche,Cayenne,2021,116094,Orange,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,60147,,WP1BG2AY3MDA49906,,
Land Rover,Range Rover Evoque,2021,45990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,35030,,SALZJ2FX7MH125825,,
Ford,F-150,2017,19995,Grey,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,176792,,1ftfx1ef0hkc93794,,
