brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Nissan,Leaf,2015,10997,Grey,,Used,Hatchback,Front-wheel drive (FWD),Automatic,Electric,90563,,1N4AZ0CP7FC321680,,
Kia,Rio,2012,11500,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,105000,,,,
Buick,Verano,2017,12000,Sedan,,Used,Front-wheel drive (FWD),Automatic,Gasoline,,212000,,,,
Toyota,RAV4,2018,26495,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Hybrid-Electric,119682,,JTMRJREV7JD187812,,
Toyota,Corolla,2021,24495,Grey,,Used,Other,Front-wheel drive (FWD),Automatic,Gasoline,85256,,5YFBPMBE8MP237299,,
Toyota,Corolla,2021,25495,White,,Used,Other,Front-wheel drive (FWD),Automatic,Gasoline,87581,,5YFBPMBE7MP258015,,
Mitsubishi,Outlander,2022,35249,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,34252,,JA4J4UA87NZ602363,,
Toyota,Tacoma,2007,5000,Automatic,,Used,,,,,400000,,,,
Subaru,Forester,2008,1500,Hatchback,,Used,All-wheel drive (AWD),Automatic,Gasoline,,326200,,,,
Ford,F-150,2010,12000,Black,,Used,Pickup Truck,4 x 4,Automatic,Other,193000,,,,
Ram,1500,2023,47095,Black,,New,Pickup Truck,Other,Automatic,Gasoline,0,,3C6RR7KG4PG620654,,
Volkswagen,Jetta,2013,10000,Grey,,Used,Sedan,Manual,Gasoline,,165000,,,,
Mazda,MX-5 Miata,2005,11000,Green,,Used,Coupe (2 door),Rear-wheel drive (RWD),Other,Gasoline,86000,,,,
Jaguar,F-Pace,2020,47990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,11000,,SADCX2GX0LA660498,,
Jaguar,XE,2018,26490,Black,,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,49164,,SAJAJ4FX3JCP27566,,
GMC,Acadia,2011,7990,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,188534,,1GKKVRED0BJ165042,,
Kia,Sportage,2015,13688,Grey,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,93989,,KNDPB3AC5F7778281,,
Buick,Enclave,2018,27990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,132098,,5GAEVCKW8JJ260170,,
Acura,RDX,2019,35390,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,101017,,5J8TC2H63KL800349,,
Mazda,6,2021,24700,Blue,,Used,Other,Front-wheel drive (FWD),Automatic,Gasoline,79893,,JM1GL1VM7M1605799,,
Honda,Civic,2018,15999,Sedan,,Used,Front-wheel drive (FWD),Manual,Gasoline,,200,,,,
Land Rover,Range Rover Sport,2016,35490,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,116572,,SALWS2VF7GA580972,,
Land Rover,Defender,2020,77890,Brown,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,27330,,SALE97EU0L2030729,,
Land Rover,Range Rover Sport,2020,67490,Other,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,43894,,SALWR2SU8LA884904,,
Land Rover,Range Rover,2019,67990,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,102517,,SALGS2RE6KA531728,,
Mitsubishi,Outlander,2014,6990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,271526,,JA4JZ3AXXEZ604109,,
Ford,Escape,2018,17988,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,152459,,1FMCU9J91JUC64286,,
Mitsubishi,Outlander,2023,54999,Silver,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,11982,,JA4T5VA99PZ613422,,
