brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Mazda,3,2018,19990,Red,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,98571,,JM1BN1W34J1168835,,
Toyota,RAV4,2017,26495,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,84930,,2T3RFREV3HW585422,,
Honda,Civic,2018,14999,Sedan,,Used,Front-wheel drive (FWD),Manual,Gasoline,,200,,,,
Mitsubishi,Eclipse Cross,2022,30999,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,49490,,JA4ATVAA2NZ611600,,
Toyota,Highlander,2021,62990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,39207,,5TDFZRBH6MS126163,,
Subaru,Legacy,2009,7500,Sedan,,Used,,,,,240000,,,,
Honda,Civic,2018,23495,Other,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,65234,,2HGFC2F50JH041288,,
Chevrolet,Colorado,2009,1200,Pickup Truck,,Used,4 x 4,Automatic,Gasoline,,228991,,,,
Mitsubishi,Outlander,2023,55749,Silver,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,9945,,JA4T5VA99PZ613422,,
Ford,Edge,2017,18888,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,156378,,2FMPK4J83HBB84831,,
Volkswagen,Tiguan,2018,20990,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,139759,,3VV0B7AX0JM178991,,
Mercedes-Benz,B-Class,2017,21990,White,,Used,Hatchback,All-wheel drive (AWD),Automatic,Gasoline,64143,,WDDMH4GB2HJ430701,,
Ford,F-150,2018,22995,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,235128,,1ftfw1e52jfd05677,,
Chevrolet,Silverado 2500,2022,88995,Black,,Used,Pickup Truck,4 x 4,Automatic,Diesel,53500,,2gc4yrey0n1205018,,
BMW,X5,2019,55990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,73541,,5UXCR6C58KLL08210,,
Land Rover,Range Rover Sport,2016,35990,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,116494,,SALWS2VF7GA580972,,
Land Rover,Range Rover Sport,2020,68900,Other,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,43892,,SALWR2SU8LA884904,,
Land Rover,Range Rover,2019,70990,Grey,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,102517,,SALGS2RE6KA531728,,
Ford,F-150,2010,16970,Purple,,Used,Pickup Truck,All-wheel drive (AWD),Automatic,Gasoline,143903,,1FTFW1EV8AFC13361,,
Hyundai,Tucson,2017,18990,Silver,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,92741,,KM8J23A48HU398432,,
Jaguar,F-Pace,2020,49990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,11000,,SADCX2GX0LA660498,,
