brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Ford,F-150,2018,22995,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,235128,,1ftfw1e52jfd05677,,
Honda,CR-V,2018,27924,Red,,Used,"SUV, Crossover",Other,Gasoline,2HKRW2H54JH106022,125220,,PA6022,,
Chevrolet,Silverado 1500,2020,44749,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,78449,,1GCPYCEF0LZ279777,,
Mazda,3,2018,20749,Red,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,98571,,JM1BN1W34J1168835,,
Toyota,Highlander,2021,62990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,35234,,5TDFZRBH6MS126163,,
Nissan,Qashqai,2019,19990,Grey,,Used,"SUV, Crossover",Front-wheel drive (FWD),Manual,Gasoline,84569,,JN1BJ1CP5KW221052,,
Subaru,Legacy,2010,2500,Black,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,260264,,,,
Honda,Civic,2020,60,,,Used,,,,,100000,,,,
Toyota,Tacoma,2005,1234,,,Used,,,,,700000,,,,
Mercedes-Benz,SL-Class,2016,75000,,,Used,,,,,68000,,,,
Ford,Mustang,2014,35000,,,Used,,,,,53000,,,,
Tesla,Model 3,2020,58000,Sedan,,Used,,,,,33000,,,,
Mazda,3,2017,16000,Sedan,,Used,Front-wheel drive (FWD),Manual,Gasoline,,109931,,,,
GMC,Terrain,2011,6700,Brown,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,163000,,,,
Hyundai,IONIQ,2019,22499,Black,,Used,Hatchback,Front-wheel drive (FWD),Automatic,Electric,114624,,KMHC85LH4KU038780,,
Dodge,Durango,2017,28493,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,152578,,1C4RDJDG4HC823789,,
Honda,Civic,2007,1000,,,Used,,,,,300000,,,,
Toyota,Corolla,2010,4990,Red,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,208577,,2T1BU4EE5AC356136,,
GMC,Yukon,2019,64500,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,53000,,,,
Honda,Fit,2020,25790,White,,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,27686,,3HGGK5H60LM101301,,
Porsche,911,2016,239990,Purple,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,33091,,WP0AF2A93GS192959,,
Chevrolet,Silverado 1500,2020,44749,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,78449,,1GCPYCEF0LZ279777,,
Jaguar,F-Type,2020,60990,Black,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,26787,,SAJDD1EV6LCK68135,,
GMC,Sierra 1500,2019,20500,Silver,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,192376,,2gtv2lec5k1107069,,
Cadillac,XT5,2018,29761,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,99628,,1GYKNDRS5JZ157603,,
Cadillac,CTS,2014,18488,Red,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,145955,,1G6AX5S37E0187090,,
BMW,X2,2022,46990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,62313,,WBXYJ1C00N5U21327,,
Chevrolet,Cruze,2018,15696,Blue,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,149000,,1G1BE5SM4J7198221,,
Ford,Explorer,2017,25726,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,137447,,1FM5K8F80HGA95671,,
Mitsubishi,Eclipse Cross,2019,28990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,49564,,JA4AT4AA5KZ600757,,
Porsche,Cayenne,2011,29995,"SUV, Crossover",,Used,,,,,90500,,,,
Nissan,MICRA,2019,19990,Red,,Used,Hatchback,Other,Automatic,Gasoline,71307,,3N1CK3CP9KL220473,,
Hyundai,Elantra,2017,12500,Black,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,187479,,5NPD74LF4HH119124,,
Hyundai,Elantra,2020,22990,Silver,,Used,Sedan,Other,Automatic,Gasoline,154740,,KMHD84LF9LU933213,,
BMW,5-Series,2013,19995,White,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,127918,,WBAFU7C5XDDU77898,,
Toyota,Highlander,2023,62990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Hybrid-Electric,6046,,5TDEBRCHXPS592746,,
Honda,Other,2019,22990,Grey,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,72000,,2HGFC2F55KH039232,,
