brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Honda,Civic,2016,15990,Blue,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,191187,,2HGFC1F99GH109688,,
Dodge,Journey,2019,26866,Black,,Used,"SUV, Crossover",Other,Gasoline,3C4PDDFG2KT732439,82176,,S12439,,
Subaru,Outback,2020,32990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,75989,,4S4BTHND5L3180083,,
Nissan,Rogue,2019,22495,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,117834,,5N1AT2MV9KC803626,,
Jaguar,F-Pace,2020,46990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,35000,,SADCM2FV8LA650858,,
Honda,CR-V,2019,26555,Silver,,Used,"SUV, Crossover",Other,Gasoline,2HKRW2H53KH122682,118569,,PA2682,,
Dodge,Charger,2021,30998,White,,Used,Sedan,Other,Gasoline,2C3CDXHG1MH501805,65105,,S11805,,
Honda,Accord,2016,22900,Grey,,Used,Coupe (2 door),Front-wheel drive (FWD),Manual,Gasoline,107000,,,,
Toyota,RAV4,2020,27990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,59000,,2T3B1RFV4LW125631,,
Jaguar,F-Type,2020,59790,Black,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,26787,,SAJDD1EV6LCK68135,,
Jeep,Cherokee,2019,27399,Beige,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,95508,,1C4PJMBX7KD356843,,
Ford,Fusion,2019,21271,Grey,,Used,Sedan,Other,Hybrid-Electric,3FA6P0RU5KR155227,104038,,PS3076A,,
Jeep,Grand Cherokee,2018,26555,Red,,Used,"SUV, Crossover",Other,Gasoline,1C4RJFBG7JC132402,122742,,N939674A,,
Jeep,Grand Cherokee,2020,36698,Blue,,Used,"SUV, Crossover",Other,Gasoline,1C4RJFBG0LC353813,81050,,N503800A,,
Jeep,Compass,2021,29526,Grey,,Used,"SUV, Crossover",Other,Gasoline,3C4NJDDB9MT531194,82586,,N594264A,,
Hyundai,Tucson,2016,13653,Grey,,Used,"SUV, Crossover",Other,Gasoline,KM8J3CA48GU071816,197962,,T663653AA,,
Jeep,Cherokee,2021,34728,Grey,,Used,"SUV, Crossover",Other,Gasoline,1C4PJMBX7MD140364,48676,,S10364,,
Ford,F-150,2016,26341,Black,,Used,Pickup Truck,Other,Gasoline,1FTEW1EPXGFC22178,97087,,PA6022A,,
Jeep,Grand Cherokee,2015,20490,White,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,98000,,1C4RJFBGXFC858357,,
Buick,Encore,2020,25805,White,,Used,"SUV, Crossover",Other,Gasoline,KL4MMESL2LB130391,34089,,S10391,,
Honda,CR-V,2007,3999,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,213689,,5J6RE48317L803207,,
Nissan,Leaf,2016,12444,Grey,,Used,Hatchback,Other,Electric,1N4AZ0CP0GC309503,89740,,PA9503,,
Jeep,Grand Cherokee,2019,35253,Red,,Used,"SUV, Crossover",Other,Gasoline,1C4RJFBG4KC708688,51219,,N626432B,,
Land Rover,Defender,2022,79490,Blue,,Used,"SUV, Crossover",4 x 4,Automatic,Hybrid-Electric,69000,,SALE2ERU8N2071762,,
Ford,Edge,2018,25500,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,89952,,2FMPK4K99JBC17232,,
Ford,Escape,2021,29500,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,75247,,1FMCU9J97MUA77462,,
Nissan,Frontier,2012,18749,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,120093,,1N6AD0CW4CC465454,,
Toyota,RAV4,2020,27990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,59000,,2T3B1RFV4LW125631,,
Ram,3500,2023,88000,White,,Used,Pickup Truck,4 x 4,Automatic,Diesel,29000,,,,
Land Rover,Range Rover Evoque,2020,38990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,51017,,SALZJ2FX7LH120672,,
GMC,Sierra 3500HD,2023,88000,Black,,Used,Pickup Truck,4 x 4,Automatic,Diesel,29000,,,,
Hyundai,Accent,2012,5800,Sedan,,Used,Front-wheel drive (FWD),Automatic,,,240000,,,,
Hyundai,Elantra,2021,21900,Orange,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,82666,,KMHLM4AG6MU134185,,
Jaguar,F-Pace,2020,34989,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,101000,,SADCK2GX9LA641687,,
Jeep,Other,2023,59990,White,,Used,Convertible,4 x 4,Automatic,Hybrid-Electric,18017,,1C4JJXR60PW521681,,
Hyundai,Tucson,2019,19495,Black,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,86823,,KM8J23A41KU912743,,
Mitsubishi,RVR,2019,19990,Blue,,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Gasoline,168298,,JA4AH3AU9KU606046,,
Toyota,Corolla,2021,21495,Grey,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,85256,,5YFBPMBE8MP237299,,
Ford,Ranger,2021,38990,Pickup Truck,,Used,4 x 4,Automatic,Gasoline,1FTER1FH5MLD77779,61782,,PS7779,,
Mitsubishi,RVR,2012,5800,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,149954,,JA4AJ4AUXCZ601615,,
Toyota,Corolla,2012,8200,Sedan,,Used,,,,,217000,,,,
Land Rover,Range Rover,2017,45490,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,122036,,SALGS2FE7HA364809,,
Jaguar,F-Pace,2020,42990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,47000,,SADCP2FX0LA643220,,
Honda,Pilot,2016,25990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,126447,,5FNYF6H71GB053288,,
Ford,GT,2022,43490,Black,,Used,Sedan,Rear-wheel drive (RWD),Manual,Gasoline,13000,,1FA6P8CF1N5109362,,
Land Rover,Discovery Sport,2016,13489,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,204003,,SALCR2BG8GH600665,,
Land Rover,Discovery Sport,2020,33989,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,59000,,SALCJ2FX9LH866918,,
Genesis,GV70,2024,78000,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,27,,KMUMCDTC3RU150743,,
Mazda,Mazda3 Sport,2011,5900,Blue,,Used,Hatchback,Front-wheel drive (FWD),Manual,Gasoline,402220,,JM1BL1KF0B1440515,,
Ford,F-150,2011,19990,Gold,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,95455,,1FTFW1ET1BFB49776,,
Honda,Civic,2021,23990,Black,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,73101,,2HGFC2F5XMH016810,,
Ford,F-150,2015,29690,Blue,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,191001,,1FTEW1EG8FFC23943,,
