brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Toyota,Highlander,2021,62990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,39207,,5TDFZRBH6MS126163,,
Jeep,Grand Cherokee,2021,55986,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,65097,,1C4RJKDGXM8127286,,
Nissan,Qashqai,2019,19990,Grey,,Used,"SUV, Crossover",Front-wheel drive (FWD),Manual,Gasoline,86046,,JN1BJ1CP5KW221052,,
Porsche,911,2016,248769,Purple,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,33091,,WP0AF2A93GS192959,,
Subaru,Legacy,2016,19990,White,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,65098,,4S3BNCN67G3044367,,
Volkswagen,Jetta,2011,3500,,,Used,,,,,330,,,,
Toyota,Matrix,2010,7000,,,Used,,,,,217000,,,,
Dodge,Power Ram 1500,2010,0,Red,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,271744,,,,
Toyota,Corolla,2020,20000,,,Lease Takeover,,,,,89000,,,,
Honda,Civic,2011,5500,,,Used,,,,,270000,,,,
Infiniti,Q50,2014,17900,Sedan,,Used,All-wheel drive (AWD),Automatic,,,108000,,,,
Toyota,Highlander,2009,9000,,,Used,,,,,336859,,,,
Audi,Q7,2015,15988,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Diesel,171684,,WA1WMCFE8FD025145,,
Mitsubishi,Outlander,2022,36990,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,34252,,JA4J4UA87NZ602363,,
Toyota,Prius,2008,6900,Grey,,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,318000,,,,
Chrysler,200-Series,2015,13495,Black,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,129964,,1C3CCCAB5FN513055,,
Nissan,Juke,2013,5990,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,182497,,JN8AF5MV4DT212298,,
MINI,Mini Cooper,2020,27990,Red,,Used,Hatchback,Other,Automatic,Gasoline,96497,,WMWXR3C08L2M13324,,
