brand,model,model_year,list_price,color,configuration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address
Ford,F-150,2018,22995,White,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,235128,,1ftfw1e52jfd05677,,
Honda,CR-V,2020,34528,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,71810,,2HKRW2H81LH228205,,
Porsche,911,2016,239990,Purple,,Used,Sedan,Rear-wheel drive (RWD),Automatic,Gasoline,33091,,WP0AF2A93GS192959,,
Jaguar,F-Pace,2020,49990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,11000,,SADCX2GX0LA660498,,
Volkswagen,Tiguan,2023,37889,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,14732,,3VVMB7AX7PM000554,,
Toyota,Highlander,2021,62990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,35234,,5TDFZRBH6MS126163,,
Honda,HR-V,2018,20500,"SUV, Crossover",,Used,Front-wheel drive (FWD),Automatic,Gasoline,,1220000,,,,
Ram,1500,2011,8500,Red,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,206000,,,,
Other,Other,2008,500,,,Used,,,,,250000,,,,
Toyota,Corolla,2008,0,,,Used,,,,,300000,,,,
Toyota,Tacoma,2015,25990,Pickup Truck,,Used,4 x 4,Other,Gasoline,5TFMU4FNBFX028239,171205,,2023-378,,
Honda,CR-V,2008,8990,Gold,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,201400,,5J6RE48748L810849,,
Chevrolet,Malibu,2015,9999,Black,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,146071,,1G11C5SL7FF261446,,
Ram,1500,2013,14995,Grey,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,240000,,,,
Nissan,Rogue,2020,21750,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,143283,,5N1AT2MVXLC775451,,
Chevrolet,Silverado 1500,2007,1000,,,Used,,,,,80000,,,,
Toyota,Corolla,2009,0,,,Used,,,,,2999999,,,,
Toyota,Matrix,2010,1000,Manual,,Used,,,,,4000000,,,,
Hyundai,Elantra,2016,10500,White,,Used,Sedan,Automatic,Gasoline,,155849,,,,
Nissan,Versa,2008,2200,Hatchback,,Used,Front-wheel drive (FWD),Manual,Gasoline,,300000,,,,
Hyundai,Other,2016,14700,Brown,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,146300,,,,
BMW,Other,2020,109990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,15000,,5YMCY0C04L9D18277,,
Mazda,Mazda3 Sport,2010,899,Blue,,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,389955,,JM1BL1H53A1284287,,
Land Rover,Range Rover Evoque,2020,36000,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,65062,,SALZJ2FX8LH054164,,
Hyundai,Tucson,2021,32500,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,43033,,KM8J3CAL8MU314771,,
Land Rover,Range Rover Evoque,2020,32772,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Hybrid-Electric,35553,,SALZT2GX4LH077157,,
GMC,Sierra 1500,2019,20500,Silver,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,192376,,2gtv2lec5k1107069,,
Jeep,Grand Cherokee,2022,62975,Grey,,Used,"SUV, Crossover",4 x 4,Hybrid-Electric,1C4RJYB69N8734715,9958,,U3618,,
Hyundai,Santa Fe,2021,32799,Silver,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,75249,,5NMS3DAJ5MH355699,,
Land Rover,Range Rover,2020,77945,White,,Used,"SUV, Crossover",4 x 4,Automatic,Diesel,36860,,SALGS2RK0LA595030,,
Nissan,Rogue,2016,17995,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,115040,,5N1AT2MV4GC804416,,
Honda,Civic,2017,39899,Hatchback,,Used,Front-wheel drive (FWD),Manual,Gasoline,SHHFK8G38HU300481,68650,,S15882A,,
Ford,F-350,2019,61598,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,122000,,1FT8W3B60KED20297,,
Kia,Sportage,2020,26800,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,92846,,KNDPNCAC8L7695916,,
Mitsubishi,Eclipse Cross,2020,23990,Brown,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,88039,,JA4AT3AA6LZ602030,,
Chevrolet,Trax,2019,20990,Silver,,Used,"SUV, Crossover",Other,Automatic,Gasoline,18627,,3GNCJKSB6KL283909,,
Nissan,Qashqai,2021,28990,Red,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,32000,,JN1BJ1BW4MW447756,,
GMC,Terrain,2019,24749,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,61560,,3GKALTEV1KL301095,,
Ford,Mustang,2021,43600,Red,,Used,Sedan,Rear-wheel drive (RWD),Manual,Gasoline,37890,,1FA6P8CF7M5124737,,
Lincoln,Corsair,2020,36973,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,9692,,5LMCJ2D98LUL02866,,
Ford,Escape,2017,19495,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,139300,,1FMCU9J93HUE40619,,
Kia,Sportage,2021,27999,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,70927,,KNDPNCACXM7880888,,
Ford,Escape,2017,18990,Blue,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,119261,,1FMCU9G90HUB10900,,
Hyundai,Elantra,2017,0,Blue,,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,81699,,KMHD84LF2HU254293,,
GMC,Sierra 1500,2019,39990,Black,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,103436,,1GTU9BED8KZ378502,,
Jeep,Cherokee,2020,34990,Red,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,17967,,1C4PJMBX4LD558167,,
Volkswagen,Tiguan,2020,30990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,92841,,3VV4B7AX6LM095215,,
Hyundai,VENUE,2021,25990,Silver,,Used,"SUV, Crossover",Other,Automatic,Gasoline,79071,,KMHRC8A39MU073643,,
Kia,Sportage,2019,21990,White,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,114365,,KNDPMCAC3K7510172,,
Toyota,RAV4,2020,34990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,34095,,2T3R1RFVXLW125017,,
Hyundai,Elantra,2019,26990,Orange,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,14570,,KMHD84LF8KU738556,,
Ford,Ranger,2023,49824,Grey,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,7990,,1FTER4FH6PLE22198,,
Toyota,Tacoma,2010,20000,Pickup Truck,,Used,4 x 4,Automatic,Gasoline,,234000,,,,
Toyota,Matrix,2011,8990,Blue,,Used,Wagon,All-wheel drive (AWD),Automatic,Gasoline,229798,,2T1LE4EE0BC019490,,
Hyundai,Elantra,2020,26990,Grey,,Used,Sedan,Other,Automatic,Gasoline,68978,,KMHD84LF2LU056841,,
Chevrolet,Silverado 1500,2021,43990,Red,,Used,Pickup Truck,4 x 4,Automatic,Gasoline,75677,,1GCRYDED8MZ266158,,
Hyundai,Elantra,2018,17990,Grey,,Used,Hatchback,Other,Automatic,Gasoline,119555,,KMHH35LE1JU067694,,
Jeep,Wrangler,2018,39581,Grey,,Used,Convertible,4 x 4,Automatic,Gasoline,101046,,1C4BJWFG6JL897645,,
Mazda,CX-5,2021,32990,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,60054,,JM3KFBDM7M1126704,,
Mercedes-Benz,S-Class,2019,77990,Silver,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,41505,,WDDUG8GB9KA427117,,
BMW,X5,2020,59990,Black,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,55845,,5UXCR6C02LLL66223,,
Ford,EcoSport,2019,30990,Grey,,Used,"SUV, Crossover",Other,Automatic,Gasoline,59017,,MAJ3S2GE8KC272677,,
Mercedes-Benz,CLA,2017,24990,White,,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,92000,,WDDSJ4GB4HN481654,,
Buick,Enclave,2019,33715,Other,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,137540,,5GAEVBKW3KJ117297,,
